Component	Strokes	CompositionType	LeftComponent	LeftStrokes	RightComponent	RightStrokes	Signature	Notes	Section
兟	12	吅	先	6	*	6	HUHGU	/	儿
兠	12	吕	北白	10	儿	2	LMMU	?/	儿
兡	13	吅	克	7	百	6	JUMA	/	儿
兢	14	吅	克	7	*	7	JUJRU	/	儿
兣	17	吅	克	7	厘	10	JUMWG	/	儿
兤	20	吅	光	6	廣	14	FUITC	/	儿
入	2	一	入	2	*	0	OH	/	*
兦	3	吅	𠃊	1	入	2	OV	?/	入
內	4	+	冂	2	入	2	OB	/	入
全	6	吕	入	2	王	4	OMG	/	入
兩	8	+	帀	4	𠓜	4	MLBO	/	入
兪	9	吕	亼	3	舟巜	6	OMBV	/?	入
八	2	一	八	2	*	0	HO	/	*
公	4	吕	八	2	厶	2	CI	/	八
六	4	吕	亠	2	八	2	YC	/	八
兮	4	吕	八	2	丂	2	CMVS	/	八
兯	4	吕	丷	2	卩	2	CSL	/	八
兰	5	吕	丷	2	三	3	TMM	/	八
共	6	吕	廿	4	廾	2	TC	*/*	八
兲	6	吕	王	4	八	2	MGC	/	八
关	6	吕	丷	2	天	4	TK	/	八
兴	6	一	兴	6	*	0	FMC	/	八
兵	7	吕	丘	5	八	2	OMC	/	八
其	8	一	其	8	*	0	TMMC	/	八
具	8	+	貝	7	一	1	BMMC	/	八
典	8	一	典	8	*	0	TBC	/	八
兹	9	吕	䒑	3	𢆶	6	TVII	/	八
兺	9	吕	分	4	叱	5	CSHP	/	八
养	9	+	𦍌	6	介	4	TOLL	*/*	八
兼	10	一	兼	10	*	0	TXC	/	八
兽	11	吕	八田	7	𠮛	4	CWMR	?/	八
兾	13	吕	丷	2	異	11	CWTC	/	八
兿	13	吕	丷一	3	执云	10	TQII	?/?	八
冀	16	吕	北	5	異	11	LPWTC	/	八
冁	18	吅	单	8	展	10	CJSTV	/	八
冂	2	一	冂	2	*	0	LS	/	*
冃	4	回	冂	2	二	2	BMM	/	冂
冄	4	+	冂	2	二	2	BMM	/	冂
内	4	+	冂	2	人	2	OB	/	冂
円	4	回	冂	2	丄	2	BLM	/	冂
冇	4	吕	𠂇	2	冂	2	KB	/	冂
冈	4	回	冂	2	乂	2	BK	/	冂
冉	5	+	冂	2	土	3	GB	/	冂
冊	5	+	冂	2	廾	3	BT	/*	冂
冋	5	回	冂	2	囗	3	BR	/	冂
册	5	一	册	5	*	0	BBM	/	冂
再	6	吕	一	1	冉	5	MGB	/	冂
冎	6	一	冎	6	*	0	BNB	/	冂
冏	7	吕	冂	2	㕣	5	BCR	/	冂
冐	8	吕	冃	4	月	4	AB	/	冂
冑	9	吕	由	5	冃	4	LWB	/	冂
冒	9	吕	冃	4	目	5	ABU	/	冂
冓	10	吕	井	4	再	6	TTGB	/	冂
冔	10	吕	冃	4	吁	6	ARMD	/	冂
冕	11	吕	冃	4	免	7	ANAU	/	冂
冖	2	一	冖	2	*	0	LN	/	*
冗	4	吕	冖	2	几	2	BHN	/	冖
冘	4	+	冖	2	儿	2	LBU	/*	冖
写	6	吕	冖	2	与	4	BYSM	/	冖
冚	5	吕	冖	2	山	3	BU	/	冖
军	6	吕	冖	2	车	4	BKQ	/	冖
农	6	一	农	6	*	0	HBV	/	冖
冝	7	吕	冖	2	且	5	BBM	/	冖
冞	8	吕	冖	2	米	6	BFD	/	冖
冟	9	吕	冖	2	皀	7	BHAP	/	冖
冠	9	吕	冖	2	㝴	7	BMUI	/	冖
冡	10	吕	冃	4	𧰨	6	BMMO	*/	冖
冢	10	吕	冖	2	豖	8	BMSO	/	冖
冣	10	吕	冖	2	取	8	BSJE	/	冖
冤	10	吕	冖	2	兔	8	BNAI	/	冖
冥	10	吕	冖	2	昗	8	BAYC	/	冖
冦	10	吕	冖	2	元攴	8	BMUE	/?	冖
冧	10	吕	冖	2	林	8	BDD	/	冖
冨	11	吕	冖	2	畐	9	BMRW	/	冖
冩	14	吕	冖	2	舄	12	BHXF	/	冖
冪	15	吕	冖	2	幕	13	BTAB	/	冖
冫	2	一	冫	2	*	0	IM	/	*
冬	5	吕	夂	3	冫	2	HEY	/	冫
冭	5	吕	大	3	冫	2	KY	/	冫
冮	5	吅	冫	2	工	3	IMM	/	冫
冯	5	吅	冫	2	马	3	IMNVM	/	冫
冰	6	吅	冫	2	水	4	IME	/	冫
冱	6	吅	冫	2	互	4	IMMVM	/	冫
冲	6	吅	冫	2	中	4	IML	/	冫
决	6	吅	冫	2	夬	4	IMDK	/	冫
冴	6	吅	冫	2	牙	4	IMMVH	/	冫
况	7	吅	冫	2	兄	5	IMRHU	/	冫
冶	7	吅	冫	2	台	5	IMIR	/	冫
冷	7	吅	冫	2	令	5	IMOII	/	冫
冸	7	吅	冫	2	半	5	IMFQ	/	冫
冹	7	吅	冫	2	犮	5	IMIKE	/	冫
冺	7	吅	冫	2	民	5	IMRVP	/	冫
冻	7	吅	冫	2	东	5	IMKD	/	冫
冼	8	吅	冫	2	先	6	IMHGU	/	冫
冽	8	吅	冫	2	列	6	IMMNN	/	冫
冾	8	吅	冫	2	合	6	IMOMR	/	冫
冿	8	吅	冫	2	聿	6	IMLQ	/	冫
净	8	吅	冫	2	争	6	IMNSD	/	冫
凁	9	吅	冫	2	束	7	IMDL	/	冫
凂	9	吅	冫	2	免	7	IMNAU	/	冫
凃	9	吅	冫	2	余	7	IMOMD	/	冫
凄	10	吅	冫	2	妻	8	IMJLV	/	冫
凅	10	吅	冫	2	固	8	IMWJR	/	冫
准	10	吅	冫	2	隹	8	IMOG	/	冫
凇	10	吅	冫	2	松	8	IMDCI	/	冫
凈	10	吅	冫	2	爭	8	IMBSD	/	冫
凉	10	吅	冫	2	京	8	IMYRF	/	冫
凊	10	吅	冫	2	青	8	IMQMB	/	冫
凋	10	吅	冫	2	周	8	IMBGR	/	冫
凌	10	吅	冫	2	夌	8	IMGCE	/	冫
凍	10	吅	冫	2	東	8	IMDW	/	冫
凎	10	吅	冫	2	金	8	IMC	/	冫
减	11	吅	冫	2	咸	9	IMIHR	/	冫
凐	11	吅	冫	2	垔	9	IMMWG	/	冫
凑	11	吅	冫	2	奏	9	IMQKK	/	冫
凒	12	吅	冫	2	豈	10	IMUMT	/	冫
凓	12	吅	冫	2	栗	10	IMMWD	/	冫
凔	12	吅	冫	2	倉	10	IMOIR	/	冫
凕	12	吅	冫	2	冥	10	IMBAC	/	冫
凖	12	吅	准	10	十	2	IGJ	/	冫
凗	13	吅	冫	2	崔	11	IMUOG	/	冫
凘	14	吅	冫	2	斯	12	IMTCL	/	冫
凙	15	吅	冫	2	睪	13	IMWLJ	/	冫
凚	15	吅	冫	2	禁	13	IMDDF	/	冫
凛	15	吅	冫	2	禀	13	IMYWF	/	冫
凜	15	吅	冫	2	稟	13	IMYWD	/	冫
凝	16	吅	冫	2	疑	14	IMPKO	/	冫
凞	16	吅	冫	2	熈	14	IMLSF	/	冫
凟	17	吅	冫	2	賣	15	IMGWC	/	冫
几	2	一	几	2	*	0	HN	/	*
凡	3	回	几	2	丶	1	HNI	/	几
凢	3	吕	丿	1	几	2	HHN	/	几
凣	3	+	几	2	丶	1	LHN	/	几
凤	4	回	几	2	又	2	HNE	/	几
凥	5	吕	尸	3	几	2	SHN	/	几
処	5	吅	夂	3	几	2	HEHN	/	几
凧	5	回	几	2	巾	3	HNLB	/	几
