,Character,Pinyin,C1Type,Strokes,Frequency,C1Frequency,AdjustedFrequency,AdjustedC1Frequency
218,剪,jian3,PicPho,11,64.003,79.2889,64.003,79.2889
219,畔,pan4,PicPho,10,5.1594,5.7432,5.1594,5.7432
220,卞,bian4,Other,4,0.0297,1.3778,0.0297,1.3778
221,赦,she4,PicPho,11,0.7339,3.0716,0.7339,3.0716
222,跷,qiao1,PicPho,13,1.0378,2.4346,1.0378,2.4346
223,乘,cheng2,PicSyn,10,20.0074,43.684,20.0074,43.684
224,翔,xiang2,PicPho,12,0.7709,46.9432,0.7709,46.9432
225,蝎,xie1,PicPho,15,0.2965,75.1704,0.2965,75.1704
226,霉,mei2,PicPho,15,1.8829,39.1951,1.8829,39.1951
227,漠,mo4,PicPho,14,0.2669,28.7111,0.2669,28.7111
228,相,xiang4,PicSyn,9,41.3566,978.4642,41.3566,978.4642
229,站,zhan4,PicPho,10,223.6546,339.9556,223.6546,339.9556
230,玺,xi3,PicPho,10,0.6301,2.1975,0.6301,2.1975
231,括,kuo4,PicPho,9,0.0667,38.5185,0.0667,38.5185
232,妇,fu4,Other,6,1.9348,113.1012,1.9348,113.1012
233,沾,zhan1,PicPho,8,11.8458,15.8617,11.8458,15.8617
234,憋,bie1,PicPho,15,20.2669,22.7358,20.2669,22.7358
235,型,xing2,PicPho,9,30.4893,320.1037,30.4893,320.1037
236,珞,luo4,PicPho,10,0.0222,4.5333,0.0222,4.5333
237,鱿,you2,PicPho,12,0.0519,5.4469,0.0519,5.4469
238,嵌,qian4,PicPho,12,1.4455,3.5605,1.4455,3.5605
239,叔,shu1,PicSyn,8,1.6679,98.0444,1.6679,98.0444
240,斟,zhen1,PicPho,13,0.2817,1.9852,0.2817,1.9852
241,骸,hai2,PicPho,16,0.1483,3.0519,0.1483,3.0519
242,憾,han4,PicPho,16,1.0452,53.284,1.0452,53.284
243,淌,tang3,PicPho,11,0.6301,5.5358,0.6301,5.5358
244,安,an1,PicSyn,6,34.2698,1186.3111,34.2698,1186.3111
245,剐,gua3,PicPho,9,0.1631,0.5432,0.1631,0.5432
246,蹦,beng4,PicPho,18,2.7724,10.7062,2.7724,10.7062
247,妓,ji4,PicPho,7,1.7124,21.3086,1.7124,21.3086
248,自,zi4,Picto,6,483.106,3079.6642,483.106,3079.6642
249,烬,jin4,PicPho,10,0.0222,1.4173,0.0222,1.4173
250,凋,diao1,PicPho,10,0.0445,4.237,0.0445,4.237
251,镜,jing4,PicPho,16,17.4574,116.5728,17.4574,116.5728
252,晨,chen2,PicPho,11,18.1616,162.237,18.1616,162.237
253,丢,diu1,PicSyn,6,84.1364,100.637,84.1364,100.637
254,祛,qu1,PicPho,10,0.3855,8.9877,0.3855,8.9877
255,帕,pa4,PicPho,8,3.1505,26.2568,3.1505,26.2568
256,痛,tong4,PicPho,12,148.7472,446.3704,148.7472,446.3704
257,窠,ke1,PicPho,13,0.0148,0.0642,0.0148,0.0642
258,亲,qin1,PicPho,9,199.6664,863.8469,199.6664,863.8469
259,颤,chan4,PicPho,19,1.0675,15.8667,1.0675,15.8667
260,防,fang2,PicPho,7,17.2572,131.1457,17.2572,131.1457
261,枫,feng1,PicPho,8,0.682,5.9556,0.682,5.9556
262,秀,xiu4,PicSyn,7,58.636,178.6914,58.636,178.6914
263,厢,xiang1,PicPho,11,1.0823,19.363,1.0823,19.363
264,戎,rong2,PicSyn,6,0.0445,1.2148,0.0445,1.2148
265,衫,shan1,PicPho,8,3.3062,56.4593,3.3062,56.4593
266,幡,fan1,PicPho,15,0.0815,0.6123,0.0815,0.6123
267,预,yu4,PicPho,10,3.2098,180.484,3.2098,180.484
268,糜,mi2,PicPho,17,0.1408,1.6346,0.1408,1.6346
269,钮,niu3,PicPho,9,0.6523,6.5679,0.6523,6.5679
270,左,zuo3,PicSyn,5,150.5041,211.8123,150.5041,211.8123
271,潮,chao2,PicPho,15,53.0022,136.9877,53.0022,136.9877
272,于,yu2,Picto,3,233.7139,1320.8988,233.7139,1320.8988
273,促,cu4,PicPho,9,25.1668,77.8815,25.1668,77.8815
274,孚,fu2,PicSyn,7,0.2224,0.9086,0.2224,0.9086
