,Character,Pinyin,C1Type,Strokes,Frequency,C1Frequency,AdjustedFrequency,AdjustedC1Frequency
510,灭,mie4,Other,5,52.209,84.0444,52.209,84.0444
511,凭,ping2,PicSyn,8,51.3417,46.0691,51.3417,46.0691
512,钓,diao4,PicPho,8,13.0393,15.5111,13.0393,15.5111
513,弟,di4,Picto,7,15.3892,268.5284,15.3892,268.5284
514,脑,nao3,PicPho,10,46.9904,327.8074,46.9904,327.8074
515,彩,cai3,PicPho,11,3.9807,443.0321,3.9807,443.0321
516,烙,lao4,PicPho,10,0.3039,4.884,0.3039,4.884
517,蛊,gu3,PicSyn,11,0.2076,3.3679,0.2076,3.3679
518,呦,you1,PicPho,8,5.4337,22.8148,5.4337,22.8148
519,淫,yin2,Other,11,7.2795,16.8593,7.2795,16.8593
520,脖,bo2,PicPho,11,0.2001,62.5926,0.2001,62.5926
521,稀,xi1,PicPho,12,4.47,39.1309,4.47,39.1309
522,怡,yi2,PicPho,8,0.5041,12.2617,0.5041,12.2617
523,汗,han4,PicPho,6,25.1223,54.6321,25.1223,54.6321
524,拒,ju4,PicPho,8,8.9474,63.3037,8.9474,63.3037
525,柬,jian3,PicSyn,9,0.1557,2.7309,0.2817,6.0543
526,斡,wo4,PicPho,14,0.1112,0.1975,0.1112,0.1975
527,齐,qi2,Other,6,21.06,72.1531,79.4959,232.5037
528,峙,zhi4,PicPho,9,0.0297,1.3037,0.0297,1.3037
529,咪,mi1,PicPho,9,11.0526,58.8741,11.0526,58.8741
530,刀,dao1,Picto,2,67.2572,138.0691,1785.4485000000002,8056.7603
531,搂,lou3,PicPho,12,6.805,5.9654,6.805,5.9654
532,逸,yi4,PicSyn,11,0.341,20.9531,0.341,20.9531
533,驯,xun4,PicPho,6,1.3714,5.116,1.3714,5.116
534,莲,lian2,PicPho,10,3.2246,28.9728,3.2246,28.9728
535,雁,yan4,PicPho,12,0.1557,4.8642,0.1557,4.8642
536,驴,lv2,PicPho,7,9.7183,14.7358,9.7183,14.7358
537,丸,wan2,PicLog,3,1.7346,31.4568,1.7346,31.4568
538,妹,mei4,PicPho,8,17.828,359.2296,17.828,359.2296
539,首,shou3,Picto,9,235.9822,322.8296,235.9822,322.8296
540,泾,jing1,Other,8,0.0148,0.879,0.0148,0.879
541,咨,zi1,PicPho,9,0.0371,10.7951,0.0371,10.7951
542,啥,sha2,PicPho,11,46.3529,163.6444,46.3529,163.6444
543,厨,chu2,PicPho,12,4.3588,55.0272,4.3588,55.0272
544,本,ben3,PicLog,5,314.4403,868.2963,314.4403,868.2963
545,樘,tang2,PicPho,15,0.0148,0.0148,0.0148,0.0148
546,沏,qi1,PicPho,7,0.1779,0.8099,0.1779,0.8099
547,莫,mo4,PicSyn,10,29.2884,135.4074,29.2884,135.4074
548,密,mi4,PicPho,11,9.1994,244.2469,9.1994,244.2469
549,宠,chong3,PicPho,8,1.4678,39.9309,1.4678,39.9309
550,剔,ti1,PicPho,10,0.3188,8.7753,0.3188,8.7753
551,写,xie4,Other,5,523.8769,485.8963,523.8769,485.8963
552,毕,bi4,PicPho,6,2.1572,90.0049,2.1572,90.0049
553,父,fu4,Picto,4,18.6879,270.4889,523.4544999999999,2168.8741
554,祷,dao3,PicPho,11,0.2001,34.158,0.2001,34.158
555,驹,ju1,PicPho,8,0.1112,3.2395,0.1112,3.2395
556,绣,xiu4,PicPho,10,0.7932,9.8272,0.7932,9.8272
557,零,ling2,PicPho,13,25.9377,96.6272,25.9377,96.6272
558,层,ceng2,Other,7,59.3328,86.7062,59.3328,86.7062
559,绮,qi3,PicPho,11,0.1038,2.484,0.1038,2.484
560,霓,ni2,Other,16,0.1631,3.4617,0.1631,3.4617
561,绚,xuan4,PicPho,9,0.0667,8.2469,0.0667,8.2469
562,喉,hou2,PicPho,12,1.3269,51.5111,1.3269,51.5111
563,拘,ju1,PicPho,8,0.1631,10.242,0.1631,10.242
564,柏,bai3,PicPho,9,1.8532,22.3704,1.8532,22.3704
565,贡,gong4,PicPho,7,0.6153,14.3111,0.6153,14.3111
566,妾,qie4,PicSyn,8,0.4744,1.9951,0.4744,1.9951
567,吕,lv3,Picto,6,1.9718,48.8444,1.9718,48.8444
568,渐,jian4,PicPho,11,17.5612,49.684,17.5612,49.684
569,渡,du4,PicPho,12,4.6108,23.2889,4.6108,23.2889
570,束,shu4,PicSyn,7,8.0949,162.721,8.0949,162.721
571,秋,qiu1,Picto,9,41.6457,114.4395,41.6457,114.4395
572,失,shi1,Other,5,18.8658,654.0148,18.8658,654.0148
573,秘,mi4,PicPho,10,3.0245,230.884,3.0245,230.884
574,姓,xing4,PicSyn,8,28.3914,52.0593,28.3914,52.0593
575,恤,xu4,PicPho,9,16.7902,12.8889,16.7902,12.8889
576,撬,qiao4,PicPho,15,2.0089,2.9235,2.0089,2.9235
577,啊,a5,PicPho,11,4215.2187,3242.1679,4215.2187,3242.1679
578,早,zao3,PicSyn,6,431.3862,1144.4889,431.3862,1144.4889
579,罗,luo2,PicSyn,8,30.5411,227.8173,30.5411,227.8173
580,木,mu4,Picto,4,613.662,541.6395,23880.9112,51406.7366
581,恬,tian2,Other,9,0.126,3.5457,0.126,3.5457
582,仪,yi2,PicPho,5,2.4907,42.3951,2.4907,42.3951
583,免,mian3,PicSyn,7,23.017,204.7407,302.8465,2012.1382
584,羁,ji1,PicSyn,17,0.2595,4.1136,0.2595,4.1136
585,灶,zao4,PicSyn,7,4.6627,8.5728,4.6627,8.5728
586,力,li4,Picto,2,96.9162,1358.479,4454.7666,15708.0695
587,清,qing1,PicPho,11,75.493,578.7605,75.493,578.7605
588,味,wei4,PicPho,8,41.7198,394.3062,41.7198,394.3062
589,佘,she2,Other,7,0.089,1.1704,0.089,1.1704
590,碴,cha2,PicPho,14,0.126,0.5185,0.126,0.5185
591,粕,po4,PicPho,11,0.0593,0.4198,0.0593,0.4198
592,板,ban3,PicPho,8,17.2646,194.2815,17.2646,194.2815
593,汁,zhi1,PicPho,5,4.596,62.3852,4.596,62.3852
594,病,bing4,PicPho,10,93.8992,287.3926,93.8992,287.3926
595,献,xian4,PicSyn,13,5.9303,57.2296,5.9303,57.2296
596,筑,zhu4,Other,12,4.9073,33.7136,4.9073,33.7136
597,仗,zhang4,PicPho,5,13.2987,25.5012,13.2987,25.5012
598,奢,she1,PicPho,11,0.3781,35.916,0.3781,35.916
599,懒,lan3,PicPho,16,59.2365,92.2469,59.2365,92.2469
600,船,chuan2,PicPho,11,81.8384,153.1556,81.8384,153.1556
601,贬,bian3,PicPho,8,0.7561,5.2938,0.7561,5.2938
602,岳,yue4,PicSyn,8,0.3855,12.9086,0.3855,12.9086
603,鸾,luan2,Other,11,0.0445,1.2691,0.0445,1.2691
604,藜,li2,PicPho,18,0.0222,0.484,0.0222,0.484
605,吃,chi1,PicPho,6,1638.9844,1526.8444,1638.9844,1526.8444
606,顺,shun4,PicSyn,9,32.3573,260.5531,32.3573,260.5531
607,楚,chu3,PicPho,13,1.6383,115.9901,1.6383,115.9901
608,揪,jiu1,PicPho,12,1.4603,8.1284,1.4603,8.1284
609,颁,ban1,PicPho,10,1.2602,23.2444,1.2602,23.2444
610,遁,dun4,PicPho,12,0.2298,1.5704,0.2298,1.5704
611,坐,zuo4,PicSyn,7,351.8162,332.4494,351.8162,332.4494
612,嗓,sang3,PicPho,13,0.0667,28.316,0.0667,28.316
613,互,hu4,Picto,4,19.8295,149.6889,19.8295,149.6889
614,蛀,zhu4,PicPho,11,0.2817,1.6741,0.2817,1.6741
615,弯,wan1,Other,9,17.9763,33.8272,17.9763,33.8272
616,腿,tui3,PicPho,14,79.7183,130.3654,79.7183,130.3654
617,拆,chai1,PicPho,8,20.5782,38.7704,20.5782,38.7704
618,菁,jing1,PicPho,11,0.0815,1.3432,0.0815,1.3432
619,厅,ting1,PicPho,4,11.2898,91.3926,11.2898,91.3926
620,故,gu4,PicPho,9,13.4248,292.5778,13.4248,292.5778
621,敌,di2,Other,10,7.917,93.0716,7.917,93.0716
622,招,zhao1,PicPho,8,40.8154,127.6889,40.8154,127.6889
623,乳,ru3,PicSyn,8,3.017,47.9358,3.017,47.9358
624,旱,han4,PicPho,7,5.1075,6.1136,5.1075,6.1136
625,蟾,chan2,PicPho,19,0.6449,0.9926,0.6449,0.9926
626,喂,wei4,PicPho,12,123.7213,99.7679,123.7213,99.7679
627,赔,pei2,PicPho,12,9.2142,14.8494,9.2142,14.8494
628,喧,xuan1,PicPho,12,0.0667,18.8148,0.0667,18.8148
629,线,xian4,PicPho,8,109.3996,320.3901,109.3996,320.3901
630,俚,li3,PicPho,9,0.0519,0.5284,0.0519,0.5284
631,这,zhe4,PicSyn,7,5087.2795,7190.5037,5087.2795,7190.5037
632,惦,dian4,PicPho,11,0.0519,14.242,0.0519,14.242
633,孬,nao1,PicSyn,10,0.126,1.2494,0.126,1.2494
634,椒,jiao1,PicPho,12,0.1705,42.1086,0.1705,42.1086
635,钳,qian2,PicPho,10,0.9489,2.4395,0.9489,2.4395
636,值,zhi2,PicPho,10,52.6242,296.079,52.6242,296.079
637,绍,shao4,PicPho,8,0.1186,86.2716,0.1186,86.2716
638,追,zhui1,PicPho,9,89.5849,204.3753,89.5849,204.3753
639,伊,yi1,PicSyn,6,21.9199,101.7926,21.9199,101.7926
640,廉,lian2,PicPho,13,0.1853,19.2889,0.1853,19.2889
641,琵,pi2,PicPho,12,0.1705,1.442,0.1705,1.442
642,讨,tao3,PicSyn,5,10.7635,209.6642,10.7635,209.6642
643,伦,lun2,PicPho,6,4.0771,101.0123,4.0771,101.0123
644,腮,sai1,PicPho,13,1.6753,5.2296,1.6753,5.2296
645,悯,min3,PicPho,10,0.2669,5.2494,0.2669,5.2494
646,肩,jian1,Picto,8,8.5545,88.1185,8.5545,88.1185
647,示,shi4,PicSyn,5,4.7813,194.8198,4.7813,194.8198
648,肮,ang1,PicPho,8,0.0297,6.3012,0.0297,6.3012
649,澄,cheng2,PicPho,15,0.0593,5.7975,0.0593,5.7975
650,砸,za2,PicPho,10,62.4388,51.2642,62.4388,51.2642
651,埋,mai2,PicPho,10,39.9036,65.2889,39.9036,65.2889
652,莴,wo1,PicPho,10,0.0222,1.5407,0.0222,1.5407
653,森,sen1,PicSyn,12,11.4603,87.1802,11.4603,87.1802
654,屏,ping2,PicPho,9,1.275,154.9877,1.275,154.9877
655,规,gui1,PicSyn,8,0.808,120.0444,0.808,120.0444
656,肱,gong1,PicPho,8,0.089,0.2025,0.089,0.2025
657,粪,fen4,PicSyn,12,2.298,7.2395,2.298,7.2395
658,缩,suo1,PicPho,14,4.0178,35.7383,4.0178,35.7383
659,置,zhi4,PicPho,13,6.6271,224.6025,6.6271,224.6025
660,唱,chang4,PicPho,11,176.2268,285.9358,176.2268,285.9358
661,硼,peng2,PicPho,13,0.0371,0.3309,0.0371,0.3309
662,肢,zhi1,PicPho,8,3.8399,8.5531,3.8399,8.5531
663,犯,fan4,PicPho,5,59.5923,158.4346,59.5923,158.4346
664,芯,xin4,PicPho,7,0.5782,9.6988,0.5782,9.6988
665,脆,cui4,PicPho,10,6.3677,44.7358,6.3677,44.7358
666,诺,nuo4,PicPho,10,10.4151,112.0296,10.4151,112.0296
667,殊,shu1,PicPho,10,2.9281,24.8148,2.9281,24.8148
668,碘,dian3,PicPho,13,0.252,0.8889,0.252,0.8889
669,柜,gui4,Other,9,4.5738,59.1012,4.5738,59.1012
670,镶,xiang1,PicPho,22,0.7116,3.8025,0.7116,3.8025
671,飙,biao1,PicSyn,16,6.4789,12.6469,6.4789,12.6469
672,硕,shuo4,PicPho,11,0.3336,10.163,0.3336,10.163
673,兆,zhao4,Picto,6,1.4678,20.8593,218.8288,693.9160999999999
674,事,shi4,PicPho,8,1454.1364,2513.6148,1454.1364,2513.6148
675,呐,na4,PicSyn,7,17.4351,56.9531,17.4351,56.9531
676,泛,fan4,PicPho,8,1.5048,17.0864,1.5048,17.0864
677,铃,ling2,PicPho,10,5.063,26.4198,5.063,26.4198
678,绝,jue2,PicSyn,9,91.6308,316.5778,91.6308,316.5778
679,幂,mi4,PicPho,12,0.2001,33.9802,0.2001,33.9802
680,轩,xuan1,PicPho,7,0.5782,20.8198,0.5782,20.8198
681,草,cao3,PicPho,9,44.1883,187.3975,44.1883,187.3975
682,朱,zhu1,PicLog,6,4.9666,35.1605,4.9666,35.1605
683,夷,yi2,PicSyn,6,0.9859,11.2444,0.9859,11.2444
684,蜡,la4,Other,14,1.3714,17.8568,1.3714,17.8568
685,牠,ta1,Other,7,0.3484,0.8494,0.3484,0.8494
686,掰,bai1,PicSyn,12,1.2157,11.4716,1.2157,11.4716
687,椎,zhui1,PicPho,12,0.1705,8.237,0.1705,8.237
688,弦,xian2,PicPho,8,1.6308,11.0864,1.6308,11.0864
689,勃,bo2,PicPho,9,2.4685,16.7259,2.4685,16.7259
690,讯,xun4,PicPho,5,7.576,60.8444,7.576,60.8444
691,题,ti2,PicPho,15,29.9481,729.363,29.9481,729.363
692,邬,wu1,PicPho,6,0.0371,0.4049,0.0371,0.4049
693,俗,su2,PicPho,9,7.954,49.8716,7.954,49.8716
694,舞,wu3,PicPho,14,80.8599,270.5975,80.8599,270.5975
695,骂,ma4,PicPho,9,86.0712,80.7358,86.0712,80.7358
696,冰,bing1,PicSyn,6,48.3692,184.1975,48.3692,184.1975
697,睿,rui4,PicSyn,14,0.0964,7.7136,0.0964,7.7136
698,至,zhi4,PicSyn,6,150.4967,537.9951,150.4967,537.9951
699,侬,nong2,PicPho,8,1.2973,4.4296,1.2973,4.4296
700,享,xiang3,PicSyn,8,43.4025,1306.0247,43.4025,1306.0247
701,擎,qing2,PicPho,17,0.0964,7.6444,0.0964,7.6444
702,斑,ban1,Other,12,4.0919,26.3753,4.0919,26.3753
703,聘,pin4,PicPho,13,1.5567,14.5284,1.5567,14.5284
704,搁,ge1,PicPho,12,3.7064,7.4222,3.7064,7.4222
705,鼎,ding3,Picto,13,2.6761,44.6963,2.6761,44.6963
706,笺,jian1,PicPho,11,0.126,0.7605,0.126,0.7605
707,沼,zhao3,PicPho,8,0.682,3.5012,0.682,3.5012
708,鸦,ya1,PicPho,9,0.1112,11.6148,0.1112,11.6148
709,训,xun4,PicPho,5,7.5834,164.642,7.5834,164.642
710,务,wu4,PicPho,5,0.8747,361.8025,0.8747,361.8025
711,该,gai1,PicPho,8,652.046,850.7012,652.046,850.7012
712,貌,mao4,PicPho,14,2.2758,74.8691,2.2758,74.8691
713,隙,xi4,PicSyn,14,0.2298,4.9235,0.2298,4.9235
714,孰,shu2,PicSyn,11,15.7746,10.963,15.7746,10.963
715,蒙,meng2,PicPho,13,16.4937,65.7185,16.4937,65.7185
716,及,ji2,PicSyn,4,151.8087,234.6519,151.8087,234.6519
717,蚁,yi3,PicPho,9,0.8525,8.2914,0.8525,8.2914
718,叹,tan4,Other,5,7.1312,38.158,7.1312,38.158
719,熙,xi1,PicPho,14,0.4893,22.5975,0.4893,22.5975
720,释,shi4,Other,12,1.0378,111.8321,1.0378,111.8321
721,狒,fei4,PicPho,8,0.0222,1.2099,0.0222,1.2099
722,祯,zhen1,PicPho,10,0.0297,0.3407,0.0297,0.3407
723,跌,die1,PicPho,12,18.043,40.3951,18.043,40.3951
724,双,shuang1,PicSyn,4,350.8673,353.6099,350.8673,353.6099
725,函,han2,Picto,8,0.3558,5.2,0.6894,26.1383
726,叭,ba1,PicPho,5,0.4967,7.4321,0.4967,7.4321
727,终,zhong1,PicPho,8,18.636,677.5012,18.636,677.5012
728,坤,kun1,PicPho,8,0.2076,16.1827,0.2076,16.1827
729,粹,cui4,PicPho,14,0.0519,14.4543,0.0519,14.4543
730,占,zhan4,PicSyn,5,33.788,54.3901,33.788,54.3901
731,搭,da1,PicPho,13,51.6086,117.921,51.6086,117.921
732,陈,chen2,Other,7,24.344,122.2173,24.344,122.2173
733,菲,fei1,PicPho,11,9.8592,73.4321,9.8592,73.4321
734,饶,rao2,PicPho,9,3.2394,12.3556,3.2394,12.3556
735,痧,sha1,PicPho,12,0.0148,0.8099,0.0148,0.8099
736,抚,fu3,PicPho,7,0.3929,18.9975,0.3929,18.9975
737,棺,guan1,PicPho,12,0.252,5.2988,0.252,5.2988
738,愚,yu2,PicPho,13,0.3706,30.8938,0.3706,30.8938
739,涯,ya2,PicPho,11,0.126,38.2963,0.126,38.2963
740,稍,shao1,PicPho,12,19.6812,39.1407,19.6812,39.1407
741,衩,cha4,PicPho,8,0.0297,1.684,0.0297,1.684
742,蔗,zhe4,PicPho,14,0.0222,2.9679,0.0222,2.9679
743,边,bian1,Other,5,255.7895,817.1309,255.7895,817.1309
744,汉,han4,Other,5,19.192,108.9235,19.192,108.9235
745,莎,sha1,PicPho,10,4.5219,74.0889,4.5219,74.0889
746,施,shi1,PicPho,9,5.5226,60.4938,5.5226,60.4938
747,羹,geng1,PicSyn,19,3.8176,4.8198,3.8176,4.8198
748,糠,kang1,PicPho,17,0.1186,0.8296,0.1186,0.8296
749,弹,tan2,PicPho,11,36.1898,138.6173,36.1898,138.6173
750,简,jian3,PicPho,13,6.1898,249.8173,6.1898,249.8173
751,喊,han3,PicPho,12,67.0941,68.3605,67.0941,68.3605
752,役,yi4,PicSyn,7,0.9933,10.4494,0.9933,10.4494
753,壹,yi1,Other,12,0.4596,8.4938,0.4596,8.4938
754,囧,jiong3,Other,7,7.109,23.6049,7.109,23.6049
755,歼,jian1,PicPho,7,0.3855,11.1556,0.3855,11.1556
756,笑,xiao4,PicPho,10,444.8851,755.9753,444.8851,755.9753
757,常,chang2,PicPho,11,113.5656,665.842,113.5656,665.842
758,邪,ye2,PicPho,7,1.8458,46.2519,1.8458,46.2519
759,调,tiao2,PicPho,10,25.3002,284.5481,25.3002,284.5481
760,痂,jia1,PicPho,10,0.0593,0.6815,0.0593,0.6815
761,企,qi3,PicSyn,6,35.6783,105.121,35.6783,105.121
762,配,pei4,PicPho,10,57.7613,200.5975,57.7613,200.5975
763,京,jing1,Picto,8,10.8451,230.6469,10.8451,230.6469
764,听,ting1,PicPho,7,823.9659,929.1309,823.9659,929.1309
765,揽,lan3,PicPho,12,4.3291,5.0963,4.3291,5.0963
766,铎,duo2,Other,10,0.1779,0.9827,0.1779,0.9827
767,觅,mi4,PicSyn,8,1.8606,10.8889,1.8606,10.8889
768,唤,huan4,PicPho,10,1.5789,145.0617,1.5789,145.0617
769,唾,tuo4,PicPho,11,0.3039,4.1975,0.3039,4.1975
770,尺,chi3,PicLog,4,9.3254,45.758,9.3254,45.758
771,操,cao1,PicPho,16,64.8851,127.7827,64.8851,127.7827
772,湄,mei2,PicPho,12,0.0222,0.7654,0.0222,0.7654
773,汇,hui4,Other,5,15.4485,56.5284,15.4485,56.5284
774,倏,shu1,PicPho,11,0.0222,0.242,0.0222,0.242
775,挡,dang3,PicPho,9,62.6464,64.5284,62.6464,64.5284
776,爪,zhua3,Picto,4,6.9904,16.1827,233.4249,430.1927
777,段,duan4,Other,9,215.5078,221.6247,215.5078,221.6247
778,拷,kao3,PicPho,9,1.0452,4.9778,1.0452,4.9778
779,眠,mian2,PicPho,10,1.9644,208.8593,1.9644,208.8593
780,谙,an1,PicPho,11,0.5263,0.7309,0.5263,0.7309
781,鞋,xie2,PicPho,15,72.7279,185.6741,72.7279,185.6741
782,荻,di2,PicPho,10,0.0371,0.3901,0.0371,0.3901
783,删,shan1,PicSyn,7,5.6857,42.8346,5.6857,42.8346
784,疚,jiu4,PicPho,8,0.0148,12.0593,0.0148,12.0593
785,午,wu3,Picto,4,1.275,368.884,1.275,368.884
786,卿,qing1,PicSyn,10,0.1705,9.6889,0.1705,9.6889
787,淇,qi2,PicPho,11,0.0815,11.7926,0.0815,11.7926
788,濒,bin1,PicPho,16,0.1779,2.0148,0.1779,2.0148
789,匹,pi3,PicSyn,4,14.129,17.8963,14.129,17.8963
790,黛,dai4,PicPho,17,2.1127,20.6667,2.1127,20.6667
791,累,lei4,Other,11,343.1208,313.4765,343.1208,313.4765
792,怨,yuan4,PicPho,9,2.172,66.9679,2.172,66.9679
793,蔓,man4,PicPho,14,0.6301,6.6469,0.6301,6.6469
794,喽,lou2,PicPho,12,11.2602,77.6494,11.2602,77.6494
795,豚,tun2,PicPho,11,0.1557,5.6049,0.1557,5.6049
796,梨,li2,PicPho,11,2.1349,29.7877,2.1349,29.7877
797,爆,bao4,PicPho,19,46.3454,254.5333,46.3454,254.5333
798,循,xun2,PicPho,12,1.49,24.1975,1.49,24.1975
799,迫,po4,PicPho,8,5.404,54.8099,5.404,54.8099
800,咒,zhou4,PicSyn,8,2.9429,24.479,2.9429,24.479
801,邮,you2,PicPho,7,2.2609,66.7951,2.2609,66.7951
802,不,bu4,Picto,4,18099.3106,15110.2864,22786.2122,19835.2098
803,亘,gen4,PicSyn,6,0.0741,0.9185,0.0741,0.9185
804,三,san1,PicLog,3,1836.0044,1715.037,1836.0044,1715.037
805,侠,xia2,PicPho,8,8.1838,69.2444,8.1838,69.2444
806,棍,gun4,PicPho,12,1.9125,22.7506,1.9125,22.7506
807,耸,song3,PicPho,10,0.3262,3.1753,0.3262,3.1753
808,咖,ka1,PicPho,8,1.2973,375.6444,1.2973,375.6444
809,痞,pi3,PicPho,12,0.3188,3.7531,0.3188,3.7531
810,砌,qi4,PicPho,9,0.3262,1.8222,0.3262,1.8222
811,嫖,piao2,PicPho,14,0.3855,2.4247,0.3855,2.4247
812,瑜,yu2,PicPho,13,2.0015,28.2914,2.0015,28.2914
813,笋,sun3,Other,10,0.0964,6.5185,0.0964,6.5185
814,傻,sha3,PicPho,13,138.8213,205.679,138.8213,205.679
815,偎,wei1,PicPho,11,0.0741,2.8741,0.0741,2.8741
816,熨,yun4,PicPho,15,0.7709,2.316,0.7709,2.316
817,血,xue4,PicLog,6,144.9073,303.7531,144.9073,303.7531
818,贰,er4,PicSyn,9,0.0815,1.037,0.0815,1.037
819,橙,cheng2,PicPho,16,2.1794,28.2864,2.1794,28.2864
820,戳,chuo1,PicPho,18,4.6627,16.9975,4.6627,16.9975
821,蒜,suan4,PicPho,13,9.7405,22.6963,9.7405,22.6963
822,瞿,qu2,PicSyn,18,0.0297,0.6864,0.0297,0.6864
823,兮,xi1,PicSyn,4,4.47,11.2247,4.47,11.2247
824,浪,lang4,PicPho,10,80.2595,583.6741,80.2595,583.6741
825,吊,diao4,Picto,6,15.6338,29.6099,15.6338,29.6099
826,算,suan4,PicSyn,14,298.2209,510.2074,298.2209,510.2074
827,胡,hu2,PicPho,9,17.6056,115.3037,17.6056,115.3037
828,总,zong3,PicPho,9,379.9185,655.1407,379.9185,655.1407
829,逮,dai3,PicPho,11,9.0882,19.842,9.0882,19.842
830,漕,cao2,PicPho,14,0.0148,0.5531,0.0148,0.5531
831,糕,gao1,PicPho,16,1.1712,122.0444,1.1712,122.0444
832,仟,qian1,PicPho,5,0.0741,0.5975,0.0741,0.5975
833,金,jin1,PicSyn,8,94.4107,738.9778,95.5004,778.3506
834,肆,si4,PicPho,13,0.0667,13.2049,0.0667,13.2049
835,醮,jiao4,PicPho,19,0.0148,0.1728,0.0148,0.1728
836,孙,sun1,PicSyn,6,7.4426,46.6617,7.4426,46.6617
837,棉,mian2,PicSyn,12,15.5893,46.0049,15.5893,46.0049
838,翌,yi4,PicPho,11,0.0964,0.6272,0.0964,0.6272
839,等,deng3,PicSyn,12,1151.3714,1261.6889,1151.3714,1261.6889
840,窦,dou4,PicPho,13,0.4818,3.3086,0.4818,3.3086
841,粘,zhan1,PicPho,11,6.086,19.8815,6.086,19.8815
842,槐,huai2,PicPho,14,0.0593,1.5407,0.0593,1.5407
843,抛,pao1,PicPho,7,14.2179,40.1679,14.2179,40.1679
844,笔,bi3,PicSyn,10,58.9918,133.9556,58.9918,133.9556
845,料,liao4,PicSyn,10,17.2128,191.6,17.2128,191.6
846,杜,du4,PicPho,7,6.1379,32.4988,6.1379,32.4988
847,创,chuang4,PicPho,6,25.9229,174.2914,25.9229,174.2914
848,姑,gu1,PicPho,8,6.464,107.9605,6.464,107.9605
849,温,wen1,PicPho,12,9.3996,323.9556,9.3996,323.9556
850,言,yan2,PicLog,7,60.3484,373.5309,860.4967,2264.6371
851,抻,chen1,PicPho,8,0.1038,0.3556,0.1038,0.3556
852,艰,jian1,PicPho,8,0.0741,43.0617,0.0741,43.0617
853,哩,li5,PicPho,10,5.404,21.8074,5.404,21.8074
854,噜,lu1,PicPho,16,0.6968,16.9086,0.6968,16.9086
855,柿,shi4,PicPho,9,0.0964,14.1728,0.0964,14.1728
856,洋,yang2,PicPho,9,13.3432,102.4642,13.3432,102.4642
857,毙,bi4,PicPho,10,5.7376,8.9185,5.7376,8.9185
858,掉,diao4,PicPho,11,206.7309,321.9654,206.7309,321.9654
859,裁,cai2,Other,12,0.9118,31.8173,0.9118,31.8173
860,虾,xia1,PicPho,9,25.0111,56.4938,25.0111,56.4938
861,槛,kan3,PicPho,14,0.6597,1.9605,0.6597,1.9605
862,谗,chan2,Other,11,0.0445,0.5235,0.0445,0.5235
863,上,shang4,PicLog,3,2923.6323,4716.721,5405.3595000000005,7027.9457
864,谱,pu3,PicPho,14,24.7961,43.2247,24.7961,43.2247
865,歪,wai1,PicSyn,9,11.4752,19.3531,11.4752,19.3531
866,暴,bao4,PicSyn,15,14.2921,104.6074,14.2921,104.6074
867,焰,yan4,PicPho,12,5.6412,15.1704,5.6412,15.1704
868,悉,xi1,PicSyn,11,0.5708,49.2049,0.5708,49.2049
869,眼,yan3,PicPho,11,222.2461,722.3506,222.2461,722.3506
870,粒,li4,PicPho,11,20.5189,29.9309,20.5189,29.9309
871,涉,she4,PicSyn,10,0.9785,21.8272,0.9785,21.8272
872,兀,wu4,PicSyn,3,0.2446,1.1802,0.2446,1.1802
873,燮,xie4,PicSyn,17,0.0297,1.1704,0.0297,1.1704
874,茉,mo4,PicPho,8,0.5634,3.9852,0.5634,3.9852
875,卡,ka3,PicSyn,5,69.4885,331.8074,69.4885,331.8074
876,胎,tai1,PicPho,9,8.043,46.2123,8.043,46.2123
877,析,xi1,PicPho,8,0.7487,58.2568,0.7487,58.2568
878,谨,jin3,PicPho,13,6.894,21.4864,6.894,21.4864
879,信,xin4,PicSyn,9,747.0423,1449.4864,747.0423,1449.4864
880,饭,fan4,PicPho,7,129.8666,529.758,129.8666,529.758
881,瞒,man2,PicPho,15,5.0185,14.1185,5.0185,14.1185
882,餐,can1,PicPho,16,44.8406,301.4025,44.8406,301.4025
883,慰,wei4,PicPho,15,1.1861,56.6963,1.1861,56.6963
884,嗳,ai4,PicPho,13,0.4448,1.0765,0.4448,1.0765
885,卦,gua4,PicPho,8,0.3262,15.0765,0.3262,15.0765
886,楔,xie1,PicPho,13,0.1631,0.4543,0.1631,0.4543
887,恋,lian4,Other,10,9.2439,473.4074,9.2439,473.4074
888,睬,cai3,PicPho,13,0.3188,2.7852,0.3188,2.7852
889,濑,lai4,PicPho,16,0.7561,1.4716,0.7561,1.4716
890,抬,tai2,PicPho,8,8.043,31.9407,8.043,31.9407
891,腹,fu4,PicPho,13,8.0133,35.3975,8.0133,35.3975
892,惠,hui4,PicSyn,12,1.149,69.037,1.149,69.037
893,真,zhen1,PicSyn,10,1918.7843,2691.684,1918.7843,2691.684
894,泳,yong3,PicPho,8,1.1045,30.0642,1.1045,30.0642
895,热,re4,Other,10,149.1475,445.7235,149.1475,445.7235
896,骥,ji4,PicPho,19,0.0445,0.4,0.0445,0.4
897,掏,tao1,PicPho,11,11.4233,17.5753,11.4233,17.5753
898,有,you3,PicSyn,6,8864.4107,9599.9556,8864.4107,9599.9556
899,讳,hui4,PicPho,6,0.0371,2.1728,0.0371,2.1728
900,蜷,quan2,PicPho,14,0.2224,2.7506,0.2224,2.7506
901,韧,ren4,PicPho,7,0.3484,7.6296,0.3484,7.6296
