,rendered_character,stroke_gif_complexity
1767,渺,57.0
1768,讹,
1769,滨,
1770,拣,
1771,遏,
1772,谣,
1773,沪,
1774,盹,
1775,罩,
1776,爰,
1777,冚,
1778,优,
1779,码,
1780,讲,
1781,膜,
1782,氢,
1783,硒,
1784,晤,
1785,暗,
1786,魄,
1787,珊,
1788,短,
1789,岗,
1790,睬,
1791,咩,48.0
1792,肱,
1793,秒,49.0
1794,抠,51.0
1795,狙,53.0
1796,护,46.0
1797,螺,103.0
1798,窘,63.0
1799,踩,87.0
1800,遐,69.0
1801,涡,75.0
1802,嗄,
1803,聆,68.0
1804,丫,
1805,八,
1806,彦,
1807,嗳,
1808,瞎,
1809,痛,
1810,笞,
1811,翻,
1812,槃,
1813,惭,
1814,昂,
1815,狮,
1816,屹,
1817,展,
1818,掾,
1819,虾,
1820,蜕,
1821,稣,
1822,仿,
1823,跨,
1824,窦,
1825,缶,
1826,呵,
1827,玖,
1828,活,
1829,拒,
1830,雄,
1831,纽,
1832,纠,
1833,糸,
1834,钻,
1835,侈,
1836,粑,
1837,药,
1838,准,
1839,迭,
1840,裆,
1841,鲟,
1842,黝,
1843,唆,
1844,蚶,
1845,租,80.0
1846,氛,58.0
1847,窟,79.0
1848,掏,70.0
1849,囍,
1850,压,39.0
1851,斜,59.0
1852,囊,141.0
1853,罄,86.0
1854,冤,76.0
1855,蕊,76.0
1856,焖,66.0
1857,孩,52.0
1858,揪,70.0
1859,轧,40.0
1860,毯,68.0
1861,榛,84.0
1862,囡,49.0
1863,沿,56.0
1864,瘫,79.0
1865,簇,82.0
1866,盂,47.0
1867,擅,80.0
1868,歇,78.0
1869,灌,100.0
1870,垦,59.0
1871,兰,36.0
1872,寞,78.0
1873,惩,64.0
1874,黎,81.0
1875,锚,66.0
1876,稠,72.0
1877,泊,47.0
1878,菁,63.0
1879,凶,30.0
1880,蛹,75.0
1881,踏,97.0
1882,锋,71.0
1883,糊,91.0
1884,呓,41.0
1885,禁,64.0
1886,浓,50.0
1887,推,68.0
1888,龇,80.0
1889,伦,44.0
1890,础,67.0
1891,腕,72.0
1892,梯,70.0
1893,刹,57.0
1894,谢,74.0
1895,炯,53.0
1896,舵,68.0
1897,蹄,
1898,睇,
1899,茄,58.0
1900,近,
1901,机,
1902,晏,
1903,候,
1904,滤,
1905,稀,
1906,崔,
1907,呦,
1908,捍,
1909,笃,
1910,撬,
1911,掬,
1912,煽,
1913,啼,71.0
1914,千,27.0
1915,读,80.0
1916,癖,107.0
1917,樱,100.0
1918,摸,84.0
1919,徽,107.0
1920,锤,79.0
1921,桨,71.0
1922,跑,73.0
1923,炭,53.0
1924,拴,60.0
1925,谙,65.0
1926,噜,100.0
1927,状,45.0
1928,碧,67.0
1929,茗,53.0
1930,潞,
1931,航,
1932,肯,
1933,愉,
1934,辫,
1935,撼,
1936,饱,
1937,片,
1938,切,
1939,喵,
1940,喘,
1941,篇,
1942,豌,
1943,蚂,
1944,穷,
1945,蹿,
1946,呷,
1947,超,
1948,捐,
1949,七,
1950,谦,
1951,剖,
1952,沾,
1953,硅,
1954,荡,
1955,鲤,
1956,堆,
1957,烫,
1958,篱,
1959,肛,
1960,怯,
1961,板,
1962,呸,
1963,售,68.0
1964,陪,80.0
1965,龄,65.0
1966,灰,38.0
1967,顽,80.0
1968,肺,60.0
1969,珍,49.0
1970,坟,43.0
1971,授,70.0
1972,撮,70.0
1973,胥,60.0
1974,垢,48.0
1975,瀑,95.0
1976,噔,93.0
1977,堇,
1978,踪,91.0
1979,伺,45.0
1980,咣,57.0
1981,彬,81.0
1982,俭,49.0
1983,馏,88.0
1984,类,55.0
1985,铁,70.0
1986,巧,35.0
1987,泵,
1988,啊,
1989,拿,
1990,恭,
1991,管,
1992,滞,
1993,搧,
1994,评,
1995,傲,
1996,焕,
1997,慰,
1998,柠,
1999,攘,
2000,谜,
2001,侠,
2002,脂,
2003,羟,
2004,脆,
2005,伶,
2006,妮,
2007,撤,
2008,炼,
2009,项,
2010,绨,
2011,完,
2012,咋,
2013,脸,
2014,臻,
2015,僵,
2016,惯,
2017,杭,
2018,溅,
2019,罪,
2020,旺,
2021,逛,
2022,撂,
2023,矬,
2024,痹,
2025,钾,
2026,层,
2027,盒,
2028,治,
2029,疏,
2030,芒,
2031,瓷,65.0
2032,赞,92.0
2033,秤,70.0
2034,瘦,74.0
2035,疮,59.0
2036,寨,80.0
2037,住,45.0
2038,眸,61.0
2039,辈,80.0
2040,谭,95.0
2041,探,65.0
2042,嗔,70.0
2043,桀,73.0
2044,偶,68.0
2045,洗,55.0
2046,妒,51.0
2047,斑,59.0
2048,眼,61.0
2049,噗,87.0
2050,瞳,82.0
2051,垂,47.0
2052,呡,
2053,缅,61.0
2054,蕉,66.0
2055,砷,70.0
2056,等,63.0
2057,熹,
2058,璜,96.0
2059,仗,36.0
2060,檫,
2061,腚,
2062,愤,72.0
2063,炖,49.0
2064,酣,72.0
2065,扣,46.0
2066,站,65.0
2067,耸,70.0
2068,晴,80.0
2069,挂,54.0
2070,嘿,85.0
2071,蔽,
2072,诅,
2073,障,
2074,沢,
2075,尓,
2076,醮,
2077,鞋,
2078,琪,
2079,绕,
2080,欲,
2081,咪,
2082,榨,
2083,邻,
2084,皱,
2085,翅,
2086,蔑,
2087,碘,
2088,茉,
2089,砍,
2090,婉,
2091,诓,
2092,驻,
2093,戳,
2094,庇,
2095,醉,
2096,摒,
2097,垮,
2098,冧,
2099,怵,
2100,竺,
2101,硌,70.0
2102,扎,32.0
2103,梵,70.0
2104,苔,55.0
2105,芜,52.0
2106,愣,63.0
2107,哐,63.0
2108,甩,40.0
2109,洽,57.0
2110,葛,65.0
2111,啄,59.0
2112,雏,80.0
2113,捕,77.0
2114,咧,57.0
2115,仆,28.0
2116,晚,70.0
2117,蛋,67.0
2118,裁,74.0
2119,掼,67.0
2120,椎,72.0
2121,蟒,94.0
2122,枷,63.0
2123,藐,
2124,褐,
2125,哎,
2126,价,
2127,佬,
2128,沏,
2129,渐,
2130,愁,
2131,骂,
2132,览,
2133,忾,
2134,雅,
2135,槌,
2136,招,
2137,肋,
2138,棉,
2139,浪,
2140,醇,
2141,嗜,
2142,痕,70.0
2143,凸,21.0
2144,了,20.0
2145,赌,80.0
2146,岩,51.0
2147,针,45.0
2148,眨,51.0
2149,潇,84.0
2150,吗,51.0
2151,啜,63.0
2152,暖,76.0
2153,店,47.0
2154,资,77.0
2155,脏,70.0
2156,嬴,105.0
2157,祷,67.0
2158,歩,
2159,啃,62.0
2160,镚,
2161,卡,32.0
2162,犁,66.0
2163,哞,
2164,泣,39.0
2165,喋,72.0
2166,蓟,84.0
2167,暮,82.0
2168,劫,51.0
2169,态,51.0
2170,萍,59.0
2171,稚,69.0
2172,迦,55.0
2173,釜,66.0
2174,珞,63.0
2175,腰,82.0
2176,啵,
2177,误,
2178,说,
2179,停,
2180,试,
2181,缆,
2182,拟,
2183,锅,
2184,叮,
2185,窗,
2186,殉,
2187,骐,
2188,觉,
2189,颇,
2190,釉,
2191,飞,
2192,堑,
2193,娃,
2194,呶,
2195,倍,
2196,懒,
2197,皂,
2198,靡,
2199,隙,
2200,琛,
2201,吨,
2202,畔,
2203,舔,
2204,递,
2205,蔫,
2206,暇,
2207,糙,
2208,郊,
2209,喀,
2210,伟,
2211,凑,
2212,悴,
2213,要,
2214,锈,
2215,榎,
2216,呕,
2217,虚,
2218,朽,
2219,炬,48.0
2220,吻,47.0
2221,渡,74.0
2222,醒,97.0
2223,挽,80.0
2224,皋,78.0
2225,链,75.0
2226,痨,73.0
2227,婶,88.0
2228,细,59.0
2229,牵,57.0
2230,蹲,112.0
2231,萘,
2232,泛,45.0
2233,凋,79.0
2234,鸾,21.0
2235,倏,75.0
2236,剐,47.0
2237,圈,70.0
2238,猴,71.0
2239,笼,65.0
2240,搓,64.0
2241,蓬,81.0
2242,嗷,74.0
2243,婊,81.0
2244,胸,80.0
2245,嘣,86.0
2246,扳,46.0
2247,盯,49.0
2248,络,
2249,晓,
2250,噻,
2251,缩,
2252,棵,
2253,椁,
2254,壹,
2255,嚓,
2256,侣,
2257,噬,
2258,迁,
2259,励,
2260,景,
2261,沤,
2262,槛,
2263,做,
2264,捶,
2265,氪,
2266,咀,
2267,癌,
2268,矮,
2269,犀,
2270,厥,
2271,购,
2272,悼,
2273,玑,
2274,壕,
2275,姝,
2276,碍,
2277,踹,
2278,浜,
2279,茫,
2280,薮,
2281,毗,
2282,岸,
2283,档,
2284,歧,
2285,聪,
2286,耗,
2287,汁,
2288,科,
2289,急,
2290,歉,
2291,赛,
2292,瞒,
2293,意,
2294,笨,
2295,沥,
2296,疼,
2297,淀,62.0
2298,喧,59.0
2299,忒,42.0
2300,喇,63.0
2301,吸,49.0
2302,韵,79.0
2303,茱,51.0
2304,镭,95.0
2305,睹,75.0
2306,混,65.0
2307,沼,53.0
2308,蛰,73.0
2309,较,80.0
2310,部,77.0
2311,悠,
2312,墓,
2313,草,
2314,荧,
2315,刨,54.0
2316,病,70.0
2317,镇,84.0
2318,茜,63.0
2319,驼,51.0
2320,忖,39.0
2321,你,43.0
2322,捞,79.0
2323,耕,79.0
2324,蜡,87.0
2325,精,80.0
2326,捋,73.0
2327,艮,16.0
2328,隅,70.0
2329,弋,22.0
2330,灼,47.0
2331,操,85.0
2332,绑,70.0
2333,菟,
2334,鳞,91.0
2335,谬,77.0
2336,滴,85.0
2337,寂,72.0
2338,舱,80.0
2339,伙,38.0
2340,廖,
2341,让,
2342,姥,
2343,锲,
2344,嘈,
2345,丢,
2346,羹,
2347,尖,
2348,挠,
2349,躯,
2350,菇,
2351,钯,
2352,弑,
2353,秧,
2354,砹,
2355,祗,
2356,咻,
2357,爸,54.0
2358,怨,68.0
2359,卖,57.0
2360,佣,53.0
2361,肢,52.0
2362,怜,52.0
2363,矽,55.0
2364,粘,64.0
2365,假,66.0
2366,颗,92.0
2367,擦,101.0
2368,飚,89.0
2369,赶,70.0
2370,蟹,114.0
2371,旱,45.0
2372,剔,80.0
2373,柿,59.0
2374,剃,65.0
2375,遛,68.0
2376,闹,57.0
2377,嗑,88.0
2378,倌,68.0
2379,根,
2380,负,
2381,枕,
2382,绰,
2383,蚝,
2384,慨,
2385,郝,
2386,驰,
2387,唾,
2388,燻,
2389,骥,
2390,多,
2391,抵,
2392,倚,
2393,缀,
2394,蒸,
2395,驮,
2396,旗,
2397,悉,
2398,订,
2399,趁,
2400,朕,
2401,含,
2402,崖,
2403,扦,
2404,肏,
2405,硫,
2406,拽,
2407,挪,
2408,岑,
2409,绮,
2410,抛,
2411,敲,
2412,菲,
2413,薯,
2414,芯,
2415,仞,
2416,畦,
2417,代,
2418,软,
2419,颞,
2420,吽,
2421,凯,
2422,纵,
2423,懵,
2424,线,
2425,袍,
2426,娇,
2427,瘤,
2428,悬,
2429,涣,
2430,太,
2431,淹,
2432,闩,
2433,衔,
2434,预,
2435,剁,53.0
2436,阎,65.0
2437,逝,70.0
2438,胞,70.0
2439,询,59.0
2440,峭,
2441,蝻,
2442,贩,
2443,搜,
2444,艘,
2445,汰,
2446,趟,
2447,朵,
2448,悦,
2449,慧,
2450,佷,
2451,靖,
2452,饰,
2453,玩,
2454,技,
2455,滚,
2456,跤,76.0
2457,谎,70.0
2458,糯,115.0
2459,谚,
2460,锂,
2461,毫,
2462,蹭,
2463,输,
2464,支,
2465,濒,
2466,选,
2467,惨,
2468,矜,
2469,镍,
2470,烩,
2471,煅,
2472,歹,
2473,吝,
2474,募,
2475,理,70.0
2476,锥,61.0
2477,容,59.0
2478,吉,41.0
2479,痢,68.0
2480,呼,51.0
2481,语,64.0
2482,铸,73.0
2483,蔡,88.0
2484,咨,50.0
2485,镐,74.0
2486,武,52.0
2487,孔,36.0
2488,旦,37.0
2489,富,80.0
2490,璧,90.0
2491,由,36.0
2492,婚,90.0
2493,钊,47.0
2494,后,43.0
2495,宾,74.0
2496,突,59.0
2497,宇,40.0
2498,段,59.0
2499,断,67.0
2500,斤,30.0
2501,旨,44.0
2502,孚,49.0
2503,吾,52.0
2504,驶,63.0
2505,讯,45.0
2506,甸,51.0
2507,播,84.0
2508,娟,80.0
2509,萦,68.0
2510,瓜,38.0
2511,寻,46.0
2512,嗣,90.0
2513,季,63.0
2514,吹,49.0
2515,驱,59.0
2516,嗝,84.0
2517,孝,51.0
2518,言,48.0
2519,攻,41.0
2520,安,42.0
2521,孤,60.0
2522,宰,67.0
2523,话,57.0
2524,娘,73.0
2525,论,45.0
2526,宛,54.0
2527,客,61.0
2528,薛,82.0
2529,甭,57.0
2530,箭,82.0
2531,诏,53.0
2532,善,70.0
2533,敢,70.0
2534,稻,80.0
2535,宜,52.0
2536,笋,74.0
2537,骰,83.0
2538,铝,66.0
2539,吕,41.0
2540,诈,42.0
2541,品,65.0
2542,闭,43.0
2543,毛,32.0
2544,敛,63.0
2545,娄,56.0
2546,竟,69.0
2547,程,61.0
2548,葱,76.0
2549,唬,68.0
2550,铭,64.0
2551,驭,41.0
2552,诸,80.0
2553,甚,61.0
2554,宫,54.0
2555,敕,64.0
2556,毕,47.0
2557,君,53.0
2558,识,50.0
2559,钟,65.0
2560,钦,55.0
2561,檐,104.0
2562,敬,78.0
2563,萃,61.0
2564,守,38.0
2565,吁,49.0
2566,符,61.0
2567,每,55.0
2568,敏,70.0
2569,葬,72.0
2570,简,76.0
2571,撕,81.0
2572,议,38.0
2573,早,44.0
2574,寺,40.0
2575,效,70.0
2576,家,77.0
2577,闾,50.0
2578,蒿,78.0
2579,诛,55.0
2580,告,47.0
2581,宿,84.0
2582,毁,83.0
2583,田,44.0
2584,吏,40.0
2585,疑,84.0
2586,无,34.0
2587,合,42.0
2588,痣,68.0
2589,高,79.0
2590,男,52.0
2591,立,32.0
2592,鬼,68.0
2593,殊,75.0
2594,闰,43.0
2595,孕,50.0
2596,旧,35.0
2597,喙,80.0
2598,宁,36.0
2599,驹,61.0
2600,命,58.0
2601,骆,68.0
2602,媚,66.0
2603,比,32.0
2604,宪,57.0
2605,歌,90.0
2606,宓,50.0
2607,察,83.0
2608,方,32.0
2609,章,68.0
2610,薪,85.0
2611,钧,53.0
2612,旋,68.0
2613,文,28.0
2614,竞,76.0
2615,穆,92.0
2616,寡,84.0
2617,毓,87.0
2618,哉,57.0
2619,周,59.0
2620,马,32.0
2621,擂,96.0
2622,讼,44.0
2623,死,41.0
2624,萌,63.0
2625,究,47.0
2626,宝,47.0
2627,瓶,74.0
2628,散,72.0
2629,孰,88.0
2630,室,54.0
2631,员,51.0
2632,铜,70.0
2633,和,55.0
2634,甫,51.0
2635,箫,68.0
2636,哀,55.0
2637,定,47.0
2638,新,70.0
2639,留,80.0
2640,请,80.0
2641,甬,49.0
2642,宣,66.0
2643,敝,70.0
2644,旅,72.0
2645,如,44.0
2646,青,55.0
2647,蛇,58.0
2648,私,43.0
2649,顺,58.0
2650,校,68.0
2651,祠,53.0
2652,音,55.0
2653,有,43.0
2654,妻,55.0
2655,盐,79.0
2656,垣,55.0
2657,神,61.0
2658,晋,64.0
2659,棋,69.0
2660,契,61.0
2661,血,45.0
2662,香,100.0
2663,目,32.0
2664,裘,74.0
2665,楚,76.0
2666,袭,65.0
2667,盗,62.0
2668,显,61.0
2669,睿,79.0
2670,颐,80.0
2671,衰,79.0
2672,夭,30.0
2673,墅,96.0
2674,雍,66.0
2675,声,43.0
2676,明,55.0
2677,栖,75.0
2678,颠,97.0
2679,虑,69.0
2680,禽,61.0
2681,矩,59.0
2682,面,53.0
2683,均,48.0
2684,域,70.0
2685,禄,64.0
2686,曝,109.0
2687,触,79.0
2688,森,72.0
2689,陀,51.0
2690,眯,64.0
2691,夸,44.0
2692,奴,39.0
2693,碟,89.0
2694,姬,70.0
2695,皇,55.0
2696,虽,67.0
2697,末,36.0
2698,墩,89.0
2699,国,57.0
2700,女,28.0
2701,植,72.0
2702,春,67.0
2703,固,57.0
2704,杠,45.0
2705,本,36.0
2706,陷,80.0
2707,昕,48.0
2708,士,24.0
2709,夏,75.0
2710,槐,83.0
2711,裳,72.0
2712,盅,65.0
2713,韦,40.0
2714,基,70.0
2715,暴,95.0
2716,风,34.0
2717,颂,72.0
2718,棠,65.0
2719,增,88.0
2720,姜,56.0
2721,袁,79.0
2722,壬,28.0
2723,雨,48.0
2724,真,72.0
2725,框,74.0
2726,围,63.0
2727,规,57.0
2728,社,49.0
2729,替,71.0
2730,柏,58.0
2731,好,47.0
2732,失,38.0
2733,望,70.0
2734,鞭,105.0
2735,盘,70.0
2736,夫,30.0
2737,队,34.0
2738,秉,54.0
2739,西,47.0
2740,难,79.0
2741,壶,76.0
2742,姆,58.0
2743,妊,48.0
2744,首,57.0
2745,柬,59.0
2746,棺,63.0
2747,智,66.0
2748,融,99.0
2749,离,77.0
2750,馨,130.0
2751,埠,70.0
2752,盟,79.0
2753,夕,24.0
2754,虐,61.0
2755,页,41.0
2756,祖,55.0
2757,昏,45.0
2758,晃,76.0
2759,栗,77.0
2760,夜,53.0
2761,裙,62.0
2762,妄,43.0
2763,昆,57.0
2764,因,39.0
2765,阑,73.0
2766,林,53.0
2767,盖,66.0
2768,权,45.0
2769,须,61.0
2770,梁,64.0
2771,圃,72.0
2772,朱,38.0
2773,妃,49.0
2774,坏,47.0
2775,虞,74.0
2776,蚊,70.0
2777,月,30.0
2778,监,75.0
2779,被,77.0
2780,析,49.0
2781,塞,73.0
2782,回,40.0
2783,易,53.0
2784,霍,89.0
2785,在,45.0
2786,觅,55.0
2787,石,38.0
2788,陈,53.0
2789,曾,72.0
2790,姚,66.0
2791,杨,55.0
2792,奂,42.0
2793,陶,72.0
2794,噪,97.0
2795,礁,79.0
2796,棘,65.0
2797,昔,56.0
2798,曹,70.0
2799,观,47.0
2800,朝,80.0
2801,夷,47.0
2802,陆,53.0
2803,格,79.0
2804,嚎,84.0
2805,曰,30.0
2806,坪,49.0
2807,饮,49.0
2808,朔,79.0
2809,衣,39.0
2810,榭,88.0
2811,直,53.0
2812,土,26.0
2813,姓,48.0
2814,奋,55.0
2815,备,59.0
2816,阳,45.0
2817,夹,41.0
2818,韩,80.0
2819,益,71.0
2820,束,46.0
2821,皆,49.0
2822,蜀,78.0
2823,墨,81.0
2824,阴,48.0
2825,委,55.0
2826,皿,35.0
2827,未,36.0
2828,尾,51.0
2829,托,53.0
2830,博,76.0
2831,化,34.0
2832,参,53.0
2833,狄,44.0
2834,色,47.0
2835,淑,66.0
2836,豪,100.0
2837,勋,58.0
2838,粮,74.0
2839,海,77.0
2840,牢,49.0
2841,厉,46.0
2842,舀,62.0
2843,川,26.0
2844,沓,54.0
2845,赤,47.0
2846,拇,53.0
2847,质,57.0
2848,尹,35.0
2849,牛,30.0
2850,济,51.0
2851,淖,61.0
2852,卤,48.0
2853,船,66.0
2854,挚,80.0
2855,刑,47.0
2856,鲍,66.0
2857,献,71.0
2858,居,57.0
2859,谨,88.0
2860,匡,41.0
2861,洲,53.0
2862,米,38.0
2863,戚,70.0
2864,茹,62.0
2865,史,40.0
2866,注,45.0
2867,汉,37.0
2868,趾,60.0
2869,扑,37.0
2870,卓,45.0
2871,淡,59.0
2872,友,33.0
2873,英,57.0
2874,叠,86.0
2875,氮,63.0
2876,戏,47.0
2877,叙,59.0
2878,淳,67.0
2879,力,21.0
2880,刃,26.0
2881,沱,49.0
2882,持,57.0
2883,卿,80.0
2884,苏,51.0
2885,爵,94.0
2886,拜,61.0
2887,戈,29.0
2888,沈,45.0
2889,舒,80.0
2890,协,42.0
2891,豆,45.0
2892,受,49.0
2893,贺,65.0
2894,岳,45.0
2895,沁,35.0
2896,才,24.0
2897,属,76.0
2898,赏,74.0
2899,区,57.0
2900,鱼,49.0
2901,莽,68.0
2902,午,32.0
2903,谴,91.0
2904,般,79.0
2905,己,30.0
2906,氧,77.0
2907,小,20.0
2908,贞,44.0
2909,列,42.0
2910,涕,75.0
2911,卫,30.0
2912,巫,38.0
2913,流,72.0
2914,右,32.0
2915,芮,47.0
2916,县,45.0
2917,卒,43.0
2918,犹,48.0
2919,苛,53.0
2920,浸,72.0
2921,及,34.0
2922,勺,24.0
2923,玉,34.0
2924,若,45.0
2925,利,45.0
2926,剥,79.0
2927,就,77.0
2928,反,36.0
2929,谐,70.0
2930,捧,68.0
2931,单,59.0
2932,率,57.0
2933,戒,47.0
2934,尸,24.0
2935,淮,57.0
2936,卜,16.0
2937,挛,62.0
2938,狂,47.0
2939,涛,71.0
2940,工,24.0
2941,则,43.0
2942,执,49.0
2943,菜,59.0
2944,封,51.0
2945,挥,59.0
2946,北,42.0
2947,舆,82.0
2948,赢,103.0
2949,尿,43.0
2950,水,34.0
2951,将,55.0
2952,巢,89.0
2953,卢,33.0
2954,豫,100.0
2955,发,40.0
2956,谌,66.0
2957,手,34.0
2958,走,43.0
2959,贼,79.0
2960,紫,68.0
2961,尔,34.0
2962,汪,41.0
2963,叨,38.0
2964,豹,67.0
2965,印,40.0
2966,狗,60.0
2967,折,43.0
2968,路,84.0
2969,趣,89.0
2970,厚,61.0
2971,芋,37.0
2972,谋,65.0
2973,取,53.0
2974,爽,57.0
2975,涉,66.0
2976,狐,70.0
2977,巷,59.0
2978,卷,57.0
2979,可,41.0
2980,赎,74.0
2981,油,51.0
2982,良,53.0
2983,巾,28.0
2984,尚,57.0
2985,汤,45.0
2986,汝,38.0
2987,屯,38.0
2988,民,38.0
2989,抑,55.0
2990,沉,46.0
2991,升,30.0
2992,犬,28.0
2993,叟,49.0
2994,节,40.0
2995,户,30.0
2996,索,72.0
2997,尝,53.0
2998,变,51.0
2999,戎,45.0
3000,贵,59.0
3001,尤,32.0
3002,送,55.0
3003,帅,39.0
3004,煮,68.0
3005,傅,74.0
3006,役,53.0
3007,况,51.0
3008,灞,124.0
3009,肤,49.0
3010,感,70.0
3011,继,80.0
3012,册,45.0
3013,仕,34.0
3014,漾,74.0
3015,丁,20.0
3016,忘,43.0
3017,者,57.0
3018,乍,34.0
3019,腹,84.0
3020,迹,53.0
3021,逸,65.0
3022,乳,51.0
3023,繁,101.0
3024,冲,41.0
3025,产,34.0
3026,市,38.0
3027,逆,49.0
3028,伏,40.0
3029,恤,58.0
3030,过,39.0
3031,庚,58.0
3032,车,30.0
3033,鹫,104.0
3034,幾,80.0
3035,侧,53.0
3036,炽,49.0
3037,乃,30.0
3038,绩,70.0
3039,翠,76.0
3040,库,50.0
3041,内,32.0
3042,配,80.0
3043,而,45.0
3044,兑,45.0
3045,庭,59.0
3046,伸,51.0
3047,熊,80.0
3048,述,48.0
3049,轨,51.0
3050,煞,76.0
3051,企,41.0
3052,应,42.0
3053,位,42.0
3054,辅,70.0
3055,黄,70.0
3056,照,90.0
3057,以,28.0
3058,凰,64.0
3059,亩,46.0
3060,胡,51.0
3061,鼠,74.0
3062,采,45.0
3063,心,28.0
3064,业,34.0
3065,元,32.0
3066,肆,84.0
3067,弗,47.0
3068,从,26.0
3069,俾,71.0
3070,煌,77.0
3071,膏,85.0
3072,惠,69.0
3073,通,77.0
3074,进,51.0
3075,庆,42.0
3076,慈,82.0
3077,绅,62.0
3078,鹰,117.0
3079,庸,86.0
3080,侵,57.0
3081,载,77.0
3082,兄,38.0
3083,丝,42.0
3084,弩,46.0
3085,忽,51.0
3086,两,45.0
3087,兽,61.0
3088,脐,73.0
3089,远,51.0
3090,惧,70.0
3091,黑,67.0
3092,冠,58.0
3093,张,49.0
3094,能,80.0
3095,中,30.0
3096,兴,43.0
3097,乡,25.0
3098,佑,48.0
3099,溺,66.0
3100,罚,50.0
3101,邵,55.0
3102,美,55.0
3103,致,80.0
3104,录,49.0
3105,征,51.0
3106,乘,75.0
3107,免,57.0
3108,且,35.0
3109,忍,45.0
3110,焰,69.0
3111,麓,114.0
3112,翼,101.0
3113,辞,77.0
3114,序,45.0
3115,会,43.0
3116,书,36.0
3117,关,40.0
3118,鼻,78.0
3119,亲,49.0
3120,弧,53.0
3121,专,34.0
3122,也,30.0
3123,野,67.0
3124,灵,46.0
3125,龚,63.0
3126,胃,47.0
3127,归,37.0
3128,事,59.0
3129,焉,70.0
3130,至,43.0
3131,建,65.0
3132,恒,58.0
3133,辽,37.0
3134,翟,70.0
3135,酌,75.0
3136,弄,45.0
3137,云,34.0
3138,亨,49.0
3139,令,34.0
3140,丰,32.0
3141,性,47.0
3142,邑,55.0
3143,迈,43.0
3144,想,74.0
3145,志,43.0
3146,减,61.0
3147,弃,45.0
3148,湍,56.0
3149,轮,70.0
3150,恕,69.0
3151,滕,84.0
3152,游,74.0
3153,遂,71.0
3154,怠,59.0
3155,兮,57.0
3156,耳,40.0
3157,群,82.0
3158,布,39.0
3159,脊,65.0
3160,鸟,41.0
3161,举,53.0
3162,慕,84.0
3163,凿,73.0
3164,亦,39.0
3165,仪,36.0
3166,徒,72.0
3167,之,26.0
3168,考,49.0
3169,仓,37.0
3170,弊,73.0
3171,亟,57.0
3172,侯,54.0
3173,并,41.0
3174,逾,77.0
3175,邦,43.0
3176,漆,76.0
3177,亡,24.0
3178,丹,30.0
3179,忠,51.0
3180,府,52.0
3181,保,53.0
3182,退,65.0
3183,郭,79.0
3184,鸡,58.0
3185,焚,61.0
3186,纪,43.0
3187,再,47.0
3188,乌,38.0
3189,愧,75.0
3190,绍,70.0
3191,潘,83.0
3192,彪,90.0
3193,侃,55.0
3194,辟,69.0
3195,惑,68.0
3196,康,88.0
3197,鹿,67.0
3198,量,80.0
3199,乞,45.0
3200,克,51.0
3201,维,69.0
3202,弟,49.0
3203,返,50.0
3204,侄,53.0
3205,然,63.0
3206,彭,66.0
3207,习,40.0
3208,兵,45.0
3209,念,59.0
3210,仁,28.0
3211,弘,43.0
3212,肉,41.0
3213,忌,49.0
3214,往,51.0
3215,乙,20.0
3216,佩,59.0
3217,俱,67.0
3218,湖,76.0
3219,凝,87.0
3220,彝,106.0
3221,乐,38.0
3222,联,68.0
3223,必,31.0
3224,东,36.0
3225,辨,78.0
3226,惟,64.0
3227,违,49.0
3228,凤,33.0
3229,彤,51.0
3230,兼,79.0
3231,严,51.0
3232,慎,73.0
3233,悔,72.0
3234,带,68.0
3235,渔,63.0
3236,逢,79.0
3237,湘,70.0
3238,熙,76.0
3239,邺,47.0
3240,燕,80.0
3241,丛,38.0
3242,肇,73.0
3243,齿,54.0
3244,德,84.0
3245,养,57.0
3246,人,20.0
3247,组,55.0
3248,冯,41.0
3249,臂,108.0
3250,遗,72.0
3251,鹏,84.0
3252,辖,94.0
3253,寓,73.0
3254,启,51.0
3255,畜,77.0
3256,咎,43.0
3257,宦,54.0
3258,问,36.0
3259,哼,75.0
3260,敦,74.0
3261,官,64.0
3262,审,55.0
3263,孵,88.0
3264,斋,77.0
3265,向,47.0
3266,敖,77.0
3267,骄,67.0
3268,记,47.0
3269,笆,78.0
3270,疆,128.0
3271,空,47.0
3272,寝,81.0
3273,嬉,74.0
3274,钛,52.0
3275,橹,104.0
3276,长,30.0
3277,唯,68.0
3278,救,70.0
3279,童,73.0
3280,否,46.0
3281,哲,70.0
3282,骑,70.0
3283,甲,38.0
3284,名,42.0
3285,闵,46.0
3286,宽,75.0
3287,锡,68.0
3288,斗,28.0
3289,喜,76.0
3290,既,66.0
3291,子,28.0
3292,止,30.0
3293,骨,59.0
3294,吴,46.0
3295,琅,65.0
3296,闲,51.0
3297,呆,47.0
3298,吊,43.0
3299,藏,88.0
3300,电,42.0
3301,痘,68.0
3302,婧,83.0
3303,日,34.0
3304,步,42.0
3305,字,41.0
3306,斩,52.0
3307,它,36.0
3308,竹,41.0
3309,欠,31.0
3310,旬,43.0
3311,整,97.0
3312,商,61.0
3313,密,81.0
3314,攸,41.0
3315,锯,86.0
3316,料,68.0
3317,闻,61.0
3318,害,68.0
3319,母,60.0
3320,寿,46.0
3321,诞,58.0
