,rendered_character,simplified_character,period,image_ID,dataset,scale_method,skeletonise_method,perimetric_complexity,pixel_complexity
69,丁,丁,Oracle,J30179,hzy,stretch,lee,249.3738023528361,1032.0
70,丁,丁,Oracle,J30180,hzy,stretch,lee,243.53276891343228,1003.0
71,丁,丁,Oracle,J30181,hzy,stretch,lee,256.4889016187695,1003.0
72,丁,丁,Oracle,J30182,hzy,stretch,lee,247.0405880659576,979.0
73,丁,丁,Oracle,J30183,hzy,stretch,lee,246.44582141909365,987.0
74,丁,丁,Oracle,J30184,hzy,stretch,lee,249.4588604196395,1042.0
75,丁,丁,Oracle,J30185,hzy,stretch,lee,245.53341710295547,970.0
76,丁,丁,Oracle,J30186,hzy,stretch,lee,243.7424892280624,920.0
77,丁,丁,Oracle,J30187,hzy,stretch,lee,246.73973347930885,996.0
78,丁,丁,Oracle,J30188,hzy,stretch,lee,251.14557898409623,1027.0
79,丁,丁,Oracle,J30189,hzy,stretch,lee,246.34956733879304,984.0
80,丁,丁,Oracle,J30190,hzy,stretch,lee,245.9751422278072,946.0
81,丁,丁,Oracle,J30191,hzy,stretch,lee,247.92084558337464,989.0
82,丁,丁,Oracle,J30192,hzy,stretch,lee,180.786943510735,671.0
83,丁,丁,Oracle,J30193,hzy,stretch,lee,246.5104710160529,989.0
84,丁,丁,Oracle,J30194,hzy,stretch,lee,247.48004188037527,984.0
85,丁,丁,Oracle,J30195,hzy,stretch,lee,248.01467597032948,1025.0
86,丁,丁,Oracle,J30196,hzy,stretch,lee,250.1581866017478,985.0
87,丁,丁,Oracle,J30197,hzy,stretch,lee,252.9753859485756,1026.0
88,丁,丁,Oracle,J30198,hzy,stretch,lee,239.24184870107308,921.0
89,丁,丁,Oracle,J30199,hzy,stretch,lee,247.82133261063564,1006.0
90,丁,丁,Oracle,J30200,hzy,stretch,lee,245.5234782652736,957.0
91,丁,丁,Oracle,J30201,hzy,stretch,lee,246.26061134260112,969.0
92,丁,丁,Oracle,J30202,hzy,stretch,lee,226.8888260779139,899.0
93,丁,丁,Oracle,J30203,hzy,stretch,lee,244.28358780413032,926.0
94,丁,丁,Oracle,J30204,hzy,stretch,lee,231.82237805032847,892.0
95,丁,丁,Oracle,J30205,hzy,stretch,lee,244.9969671877795,952.0
96,丁,丁,Oracle,J30206,hzy,stretch,lee,248.1071928681431,1025.0
97,丁,丁,Oracle,J30207,hzy,stretch,lee,252.87476622299627,1034.0
98,丁,丁,Oracle,J30208,hzy,stretch,lee,246.6409122685348,993.0
99,丁,丁,Oracle,J30209,hzy,stretch,lee,244.90915176037183,924.0
100,丁,丁,Oracle,J30210,hzy,stretch,lee,253.1712328670896,984.0
101,丁,丁,Oracle,J30211,hzy,stretch,lee,245.92796244082163,1031.0
102,丁,丁,Oracle,J30212,hzy,stretch,lee,217.95368579398692,848.0
103,丁,丁,Oracle,J30213,hzy,stretch,lee,251.2611287349841,1033.0
104,丁,丁,Oracle,J30214,hzy,stretch,lee,251.40267033971992,898.0
105,丁,丁,Oracle,J30215,hzy,stretch,lee,250.16514987349427,1009.0
106,丁,丁,Oracle,J30216,hzy,stretch,lee,197.41562730867565,722.0
107,丁,丁,Oracle,J30217,hzy,stretch,lee,247.8342127679772,974.0
108,丁,丁,Oracle,J30218,hzy,stretch,lee,244.80686691028103,916.0
109,丁,丁,Oracle,J30219,hzy,stretch,lee,243.7680106027064,921.0
110,丁,丁,Oracle,J30220,hzy,stretch,lee,243.3735317865045,843.0
111,丁,丁,Oracle,J30221,hzy,stretch,lee,215.41474695269287,861.0
112,丁,丁,Oracle,J30222,hzy,stretch,lee,243.7122488124089,937.0
113,丁,丁,Oracle,J30223,hzy,stretch,lee,176.69238181664883,681.0
114,丁,丁,Oracle,J30224,hzy,stretch,lee,246.32137726101087,971.0
115,丁,丁,Oracle,J30225,hzy,stretch,lee,247.60657352054224,988.0
116,丁,丁,Oracle,J30226,hzy,stretch,lee,247.29430752591185,990.0
117,丁,丁,Oracle,J30227,hzy,stretch,lee,250.94043360466588,1021.0
118,丁,丁,Oracle,J30228,hzy,stretch,lee,220.4761543725262,881.0
119,丁,丁,Oracle,J30229,hzy,stretch,lee,245.3723920444827,938.0
120,丁,丁,Oracle,J30230,hzy,stretch,lee,246.97864974648405,1014.0
121,丁,丁,Oracle,J30231,hzy,stretch,lee,250.75027124231863,1029.0
122,丁,丁,Oracle,J30232,hzy,stretch,lee,247.2467089445476,1000.0
123,丁,丁,Oracle,J30233,hzy,stretch,lee,247.22491304834057,1021.0
124,丁,丁,Oracle,J30234,hzy,stretch,lee,243.0477290995998,969.0
125,丁,丁,Oracle,J30235,hzy,stretch,lee,246.03070966536504,948.0
126,丁,丁,Oracle,J30236,hzy,stretch,lee,247.5952180525091,1021.0
127,丁,丁,Oracle,J30237,hzy,stretch,lee,241.1646265809865,991.0
128,丁,丁,Oracle,J30238,hzy,stretch,lee,248.33665942848887,1021.0
129,丁,丁,Oracle,J30239,hzy,stretch,lee,245.45380282106643,941.0
130,丁,丁,Oracle,J30240,hzy,stretch,lee,245.18675208028668,980.0
131,丁,丁,Oracle,J30241,hzy,stretch,lee,242.0061713786573,790.0
