,rendered_character,period,image_ID,dataset,SVG description length
11095,赘,Simplified,赘,Hiragino Sans GB,3289
11096,幻,Simplified,幻,SimSun,3372
11097,緘,Traditional,緘,SimSun,4676
11098,蹉,Simplified,蹉,Hiragino Sans GB,2776
11099,巳,Oracle,J30998,hzy,1668
11100,聋,Simplified,聋,SimSun,3327
11101,嘖,Traditional,27,traditional,5138
11102,淳,Traditional,淳,SimSun,3670
11103,且,Simplified,28,casia,3581
11104,日,Oracle,J16048,hzy,2121
11105,囚,Simplified,63,casia,3638
11106,銬,Traditional,5,traditional,6658
11107,煉,Traditional,煉,Hiragino Sans GB,3225
11108,勺,Seal,S10633,hzy,1305
11109,耕,Traditional,耕,Hiragino Sans GB,2122
11110,寫,Traditional,寫,SimSun,3475
11111,孩,Traditional,孩,Hiragino Sans GB,3146
11112,差,Simplified,差,SimSun,2816
11113,馱,Traditional,馱,SimSun,3404
11114,献,Simplified,献,SimSun,3270
11115,哲,Simplified,110,casia,4429
11116,课,Simplified,128,casia,4456
11117,扁,Seal,S01598,hzy,3342
11118,紐,Traditional,48,traditional,4958
11119,泻,Simplified,泻,Hiragino Sans GB,2142
11120,免,Simplified,免,SimSun,2843
11121,会,Simplified,56,casia,3390
11122,興,Traditional,興,Hiragino Sans GB,2260
11123,费,Simplified,费,Hiragino Sans GB,3263
11124,骶,Simplified,骶,Hiragino Sans GB,2753
11125,賢,Traditional,賢,SimSun,3687
11126,殖,Traditional,殖,SimSun,3253
11127,辙,Seal,S10794,hzy,4398
11128,奴,Traditional,奴,Hiragino Sans GB,3241
11129,佬,Simplified,佬,SimSun,3830
11130,燮,Traditional,48,traditional,5712
11131,载,Simplified,载,SimSun,3690
11132,希,Simplified,希,Hiragino Sans GB,2877
11133,漱,Traditional,漱,SimSun,3805
11134,跌,Traditional,47,traditional,5365
11135,旦,Seal,S04872,hzy,1953
11136,良,Seal,S03851,hzy,2841
11137,急,Seal,S07699,hzy,3458
11138,脊,Traditional,脊,Hiragino Sans GB,2830
11139,但,Simplified,136,casia,4195
11140,咬,Traditional,28,traditional,4572
11141,勉,Traditional,25,traditional,6195
11142,国,Simplified,国,SimSun,1917
11143,严,Seal,S01083,hzy,4144
11144,苑,Seal,S00628,hzy,3068
11145,噜,Simplified,噜,Hiragino Sans GB,2781
11146,璞,Simplified,璞,SimSun,4373
11147,試,Traditional,試,SimSun,3276
11148,咸,Oracle,J02185,hzy,2321
11149,膠,Traditional,21,traditional,4561
11150,绀,Simplified,51,casia,4487
11151,填,Traditional,填,Hiragino Sans GB,2183
11152,紹,Traditional,紹,SimSun,4110
11153,卯,Simplified,卯,Hiragino Sans GB,1744
11154,姝,Traditional,38,traditional,5796
11155,茗,Traditional,茗,Hiragino Sans GB,2818
11156,聚,Simplified,聚,Hiragino Sans GB,4184
11157,穢,Traditional,穢,SimSun,4654
11158,琳,Simplified,15,casia,4234
11159,飛,Traditional,飛,Hiragino Sans GB,3067
11160,彌,Traditional,彌,SimSun,4878
11161,落,Traditional,46,traditional,4678
11162,饱,Simplified,75,casia,4760
11163,眷,Simplified,97,casia,4840
11164,楔,Traditional,楔,SimSun,3594
11165,鵬,Traditional,7,traditional,5958
11166,己,Seal,S10950,hzy,1411
11167,鑼,Traditional,20,traditional,9933
11168,哄,Simplified,142,casia,4056
11169,始,Simplified,始,SimSun,3676
11170,猜,Traditional,5,traditional,5722
11171,聾,Traditional,聾,Hiragino Sans GB,3446
11172,屑,Traditional,屑,SimSun,2428
11173,看,Simplified,看,SimSun,2406
11174,驴,Simplified,驴,SimSun,2797
11175,祿,Traditional,祿,SimSun,3665
11176,娥,Traditional,娥,Hiragino Sans GB,3752
11177,宜,Bronze,B11675,hzy,3939
11178,脫,Traditional,30,traditional,5520
11179,惯,Simplified,140,casia,4860
11180,唬,Simplified,唬,Hiragino Sans GB,2503
11181,借,Simplified,借,Hiragino Sans GB,1974
11182,寐,Seal,S05354,hzy,3156
11183,廊,Simplified,47,casia,4461
11184,簇,Traditional,簇,SimSun,4687
11185,孝,Simplified,44,casia,3754
11186,息,Traditional,3,traditional,3845
11187,歷,Traditional,歷,SimSun,3895
11188,天,Traditional,天,SimSun,1747
11189,氢,Simplified,61,casia,4935
11190,乙,Traditional,乙,SimSun,1517
11191,拨,Simplified,拨,Hiragino Sans GB,3500
11192,愿,Simplified,90,casia,5011
11193,檀,Seal,S04071,hzy,3635
11194,識,Traditional,識,SimSun,4347
11195,耻,Simplified,耻,Hiragino Sans GB,1923
11196,昧,Simplified,昧,SimSun,2330
11197,钥,Simplified,钥,Hiragino Sans GB,2411
11198,潮,Traditional,潮,SimSun,3781
11199,舵,Simplified,49,casia,4621
11200,熄,Traditional,熄,Hiragino Sans GB,3144
11201,装,Seal,S06084,hzy,3519
11202,詐,Traditional,35,traditional,5574
11203,另,Traditional,26,traditional,3641
11204,湖,Traditional,44,traditional,6088
11205,椰,Traditional,41,traditional,5387
11206,护,Simplified,23,casia,3615
11207,滴,Seal,S08186,hzy,4161
11208,证,Seal,S01719,hzy,3231
11209,室,Traditional,室,Hiragino Sans GB,2129
11210,增,Traditional,增,Hiragino Sans GB,2583
11211,召,Oracle,J02159,hzy,3035
11212,喏,Simplified,喏,Hiragino Sans GB,2047
11213,宕,Oracle,J17628,hzy,2728
11214,挎,Traditional,15,traditional,5640
11215,伸,Traditional,伸,SimSun,1838
11216,給,Traditional,給,SimSun,3342
11217,奚,Bronze,B15236,hzy,2353
11218,考,Oracle,J19927,hzy,2590
11219,融,Simplified,融,SimSun,3449
11220,炯,Seal,S07363,hzy,2187
11221,手,Simplified,手,Hiragino Sans GB,1208
11222,肘,Simplified,肘,Hiragino Sans GB,1641
11223,妹,Traditional,妹,Hiragino Sans GB,2733
11224,稽,Traditional,稽,SimSun,4250
11225,泊,Simplified,127,casia,3149
11226,弓,Traditional,弓,SimSun,1887
11227,摩,Simplified,摩,Hiragino Sans GB,2972
11228,逻,Simplified,3,casia,4839
11229,珊,Traditional,珊,Hiragino Sans GB,2031
11230,萘,Simplified,萘,SimSun,3281
11231,孕,Traditional,孕,SimSun,2751
11232,妆,Simplified,妆,SimSun,3085
11233,峭,Simplified,125,casia,4564
11234,栅,Oracle,J14176,hzy,4413
11235,導,Traditional,導,SimSun,3563
11236,摯,Traditional,19,traditional,5249
11237,母,Traditional,40,traditional,4634
11238,念,Simplified,120,casia,3747
11239,席,Traditional,席,SimSun,2429
11240,紹,Traditional,34,traditional,5523
11241,沽,Simplified,99,casia,3863
11242,畔,Traditional,2,traditional,4927
11243,双,Simplified,双,Hiragino Sans GB,2937
11244,肋,Traditional,肋,Hiragino Sans GB,2247
11245,咦,Simplified,32,casia,4629
11246,奶,Traditional,奶,SimSun,3537
11247,截,Simplified,截,Hiragino Sans GB,3061
11248,蘑,Simplified,7,casia,5159
11249,靶,Simplified,靶,Hiragino Sans GB,2188
11250,濟,Traditional,37,traditional,5581
11251,炖,Simplified,炖,Hiragino Sans GB,2130
11252,率,Simplified,率,Hiragino Sans GB,2674
11253,丁,Traditional,46,traditional,1961
11254,持,Traditional,持,SimSun,2878
11255,牙,Simplified,76,casia,3275
11256,枉,Traditional,29,traditional,4412
11257,干,Simplified,103,casia,2203
11258,覆,Simplified,覆,SimSun,4860
11259,查,Traditional,18,traditional,4092
11260,唠,Simplified,7,casia,4304
11261,葵,Traditional,葵,SimSun,3610
11262,韵,Simplified,韵,Hiragino Sans GB,2832
11263,枚,Simplified,枚,Hiragino Sans GB,2652
11264,荫,Simplified,荫,Hiragino Sans GB,1797
11265,吧,Traditional,吧,SimSun,1862
11266,酌,Bronze,B21355,hzy,4462
11267,痕,Simplified,痕,SimSun,3325
11268,焉,Traditional,焉,SimSun,2979
11269,孚,Bronze,B03645,hzy,2140
11270,登,Simplified,登,SimSun,3262
11271,蕉,Simplified,蕉,Hiragino Sans GB,2339
11272,陽,Traditional,陽,SimSun,3804
11273,禱,Traditional,禱,Hiragino Sans GB,2619
11274,躥,Traditional,46,traditional,7967
11275,协,Simplified,协,Hiragino Sans GB,1940
11276,逛,Traditional,逛,Hiragino Sans GB,2851
11277,痣,Traditional,32,traditional,5189
11278,廷,Seal,S01416,hzy,2962
11279,每,Simplified,每,SimSun,3249
11280,算,Simplified,48,casia,4192
11281,戮,Traditional,戮,Hiragino Sans GB,4211
11282,卖,Simplified,117,casia,5288
11283,频,Simplified,频,SimSun,3739
11284,汶,Simplified,17,casia,3452
11285,房,Traditional,房,SimSun,2528
11286,畏,Traditional,畏,SimSun,2748
11287,崎,Simplified,16,casia,4296
11288,敢,Simplified,122,casia,4843
11289,睬,Traditional,睬,SimSun,3338
11290,癖,Simplified,癖,Hiragino Sans GB,3209
11291,济,Bronze,B15538,hzy,3284
11292,升,Bronze,B19528,hzy,2210
11293,拈,Simplified,拈,Hiragino Sans GB,1641
11294,耳,Traditional,耳,SimSun,1691
11295,澪,Traditional,5,traditional,5455
11296,乎,Oracle,J11647,hzy,1530
11297,按,Traditional,按,Hiragino Sans GB,3000
11298,送,Traditional,9,traditional,5547
11299,怠,Traditional,27,traditional,3598
11300,酯,Traditional,酯,Hiragino Sans GB,2640
11301,擂,Simplified,擂,SimSun,3507
11302,命,Simplified,99,casia,3274
11303,匮,Simplified,匮,Hiragino Sans GB,2386
11304,掏,Simplified,62,casia,4790
11305,磅,Traditional,磅,Hiragino Sans GB,2913
11306,题,Seal,S06374,hzy,4359
11307,儀,Traditional,儀,SimSun,4303
11308,予,Traditional,30,traditional,2725
11309,帛,Oracle,J18567,hzy,2022
11310,逾,Traditional,8,traditional,5200
11311,憲,Traditional,憲,Hiragino Sans GB,2864
11312,呕,Simplified,呕,SimSun,2569
11313,叭,Simplified,130,casia,3339
11314,熙,Simplified,113,casia,5062
11315,巾,Traditional,37,traditional,2805
11316,獵,Traditional,獵,SimSun,4936
11317,孕,Oracle,J30771,hzy,3746
11318,壶,Simplified,壶,SimSun,2607
11319,弓,Bronze,B18046,hzy,1363
11320,存,Simplified,存,SimSun,2539
11321,呸,Traditional,呸,SimSun,2575
11322,釉,Traditional,釉,Hiragino Sans GB,2361
11323,齡,Traditional,2,traditional,8514
11324,扫,Simplified,扫,Hiragino Sans GB,1447
11325,黏,Traditional,22,traditional,5971
11326,姬,Traditional,40,traditional,6638
11327,触,Simplified,102,casia,5874
11328,茱,Traditional,35,traditional,3661
11329,伯,Seal,S05673,hzy,2338
11330,蛆,Simplified,蛆,SimSun,2590
11331,自,Simplified,119,casia,3233
11332,瘍,Traditional,瘍,SimSun,3751
11333,剃,Traditional,剃,Hiragino Sans GB,2199
11334,额,Simplified,58,casia,6344
11335,栗,Simplified,栗,SimSun,2687
11336,鉤,Traditional,鉤,SimSun,4182
11337,攻,Traditional,攻,SimSun,3043
11338,砰,Traditional,砰,Hiragino Sans GB,1984
11339,隨,Traditional,44,traditional,6286
11340,優,Traditional,優,Hiragino Sans GB,3889
11341,雄,Seal,S02642,hzy,3796
11342,佬,Traditional,18,traditional,4512
11343,季,Simplified,季,SimSun,2609
11344,引,Bronze,B18072,hzy,1787
11345,招,Traditional,招,Hiragino Sans GB,2009
11346,靖,Simplified,靖,Hiragino Sans GB,2484
11347,初,Traditional,初,SimSun,2556
11348,攜,Traditional,39,traditional,6109
11349,言,Oracle,J04908,hzy,2089
11350,霜,Traditional,霜,SimSun,3086
11351,拌,Simplified,107,casia,4086
11352,鳃,Simplified,49,casia,6003
11353,问,Seal,S00940,hzy,2816
11354,商,Traditional,商,SimSun,2702
11355,倍,Traditional,倍,Hiragino Sans GB,2090
11356,召,Simplified,召,Hiragino Sans GB,1675
11357,栅,Seal,S04219,hzy,3659
11358,蜷,Traditional,蜷,SimSun,4394
11359,遇,Traditional,遇,SimSun,3098
11360,揪,Traditional,38,traditional,6048
11361,雍,Simplified,140,casia,5483
11362,凡,Traditional,凡,SimSun,1570
11363,寅,Traditional,43,traditional,4789
11364,钩,Simplified,79,casia,4314
11365,證,Traditional,證,Hiragino Sans GB,3281
11366,审,Simplified,41,casia,3267
11367,故,Traditional,49,traditional,5206
11368,擤,Traditional,擤,SimSun,3798
11369,蓋,Traditional,蓋,SimSun,3745
11370,颂,Simplified,26,casia,4930
11371,疑,Traditional,40,traditional,6676
11372,序,Simplified,序,Hiragino Sans GB,2153
11373,刨,Traditional,刨,Hiragino Sans GB,2213
11374,儒,Traditional,儒,Hiragino Sans GB,2767
11375,鑑,Traditional,58,traditional,7584
11376,冬,Simplified,91,casia,3008
11377,膳,Traditional,膳,SimSun,3845
11378,詮,Traditional,詮,Hiragino Sans GB,2204
11379,组,Simplified,组,Hiragino Sans GB,2241
11380,身,Simplified,身,Hiragino Sans GB,2470
11381,歼,Seal,S02928,hzy,4836
11382,篷,Simplified,篷,Hiragino Sans GB,3415
11383,銘,Traditional,銘,Hiragino Sans GB,3038
11384,銅,Traditional,銅,SimSun,3472
11385,允,Traditional,允,Hiragino Sans GB,2197
11386,籽,Simplified,125,casia,4250
11387,末,Traditional,44,traditional,3610
11388,芮,Traditional,芮,SimSun,2202
11389,窝,Simplified,30,casia,4633
11390,峨,Simplified,峨,SimSun,3607
11391,婉,Simplified,31,casia,5256
11392,卜,Traditional,卜,Hiragino Sans GB,936
11393,炙,Traditional,48,traditional,4048
11394,寝,Simplified,寝,Hiragino Sans GB,3135
11395,应,Seal,S07595,hzy,4402
11396,哲,Bronze,B01212,hzy,2265
11397,句,Simplified,句,SimSun,2020
11398,钠,Simplified,27,casia,4649
11399,跛,Simplified,跛,Hiragino Sans GB,2889
11400,喧,Traditional,喧,SimSun,2457
11401,氏,Oracle,J26671,hzy,1410
11402,吆,Traditional,3,traditional,3756
11403,褪,Simplified,118,casia,5121
11404,诹,Simplified,诹,Hiragino Sans GB,3117
11405,邦,Traditional,邦,SimSun,2622
