,rendered_character,period,image_ID,dataset,SVG description length
0,酱,Simplified,酱,SimSun,4053
1,巫,Traditional,巫,SimSun,2662
2,磅,Traditional,磅,SimSun,3639
3,搭,Traditional,搭,Hiragino Sans GB,2727
4,現,Traditional,20,traditional,5179
5,陋,Traditional,陋,Hiragino Sans GB,2358
6,朗,Traditional,朗,Hiragino Sans GB,2426
7,颓,Simplified,110,casia,5664
8,不,Traditional,不,Hiragino Sans GB,1716
9,裁,Traditional,裁,SimSun,3952
10,瞻,Simplified,123,casia,5571
11,次,Seal,S06339,hzy,2329
12,森,Traditional,森,SimSun,3769
13,括,Simplified,13,casia,4168
14,羞,Traditional,羞,SimSun,3560
15,炼,Seal,S07325,hzy,3418
16,綽,Traditional,綽,SimSun,3340
17,負,Traditional,負,Hiragino Sans GB,2583
18,绿,Seal,S09661,hzy,4090
19,墓,Traditional,墓,SimSun,3218
20,小,Simplified,小,Hiragino Sans GB,1723
21,赢,Seal,S04546,hzy,4566
22,劵,Seal,S10392,hzy,4060
23,炭,Simplified,炭,SimSun,3458
24,简,Simplified,53,casia,4409
25,祷,Simplified,祷,Hiragino Sans GB,2739
26,毋,Simplified,毋,Hiragino Sans GB,2761
27,棚,Simplified,棚,Hiragino Sans GB,2638
28,罕,Simplified,罕,Hiragino Sans GB,1510
29,哦,Traditional,哦,Hiragino Sans GB,2744
30,教,Traditional,教,Hiragino Sans GB,4177
31,槐,Traditional,槐,SimSun,3942
32,给,Seal,S09632,hzy,3536
33,扔,Oracle,J25933,hzy,1975
34,菁,Seal,S00327,hzy,3447
35,脂,Seal,S03097,hzy,2971
36,劫,Traditional,40,traditional,5153
37,璧,Simplified,31,casia,5014
38,誤,Traditional,16,traditional,5815
39,炖,Simplified,炖,SimSun,2434
40,邓,Simplified,133,casia,3215
41,移,Traditional,移,SimSun,3730
42,卒,Simplified,56,casia,3128
43,咕,Traditional,43,traditional,4230
44,鼻,Seal,S02548,hzy,3448
45,似,Simplified,98,casia,3544
46,洙,Simplified,洙,SimSun,2735
47,鼾,Seal,S02550,hzy,3581
48,延,Traditional,延,SimSun,3047
49,噱,Traditional,35,traditional,6504
50,消,Simplified,消,Hiragino Sans GB,2035
51,伏,Traditional,33,traditional,3661
52,钾,Simplified,100,casia,5396
53,缴,Simplified,缴,Hiragino Sans GB,4066
54,乞,Traditional,乞,Hiragino Sans GB,2028
55,迅,Traditional,迅,SimSun,2494
56,族,Seal,S04904,hzy,3152
57,离,Seal,S10929,hzy,3582
58,量,Bronze,B12682,hzy,3916
59,翁,Traditional,翁,SimSun,4145
60,佣,Simplified,102,casia,5515
61,爆,Traditional,35,traditional,7282
62,乱,Simplified,乱,Hiragino Sans GB,1690
63,耐,Simplified,耐,SimSun,2280
64,域,Seal,S09402,hzy,2701
65,嘎,Traditional,嘎,Hiragino Sans GB,3666
66,蹈,Traditional,蹈,Hiragino Sans GB,2597
67,得,Traditional,得,SimSun,2642
68,渺,Simplified,渺,Hiragino Sans GB,2833
69,豐,Traditional,54,traditional,6541
70,兕,Oracle,J22020,hzy,2742
71,顷,Simplified,顷,Hiragino Sans GB,2411
72,帛,Simplified,帛,SimSun,1894
73,杉,Traditional,38,traditional,3981
74,少,Traditional,25,traditional,2179
75,烛,Simplified,69,casia,4580
76,烛,Simplified,烛,SimSun,2983
77,飽,Traditional,12,traditional,6497
78,享,Traditional,享,Hiragino Sans GB,1737
79,調,Traditional,22,traditional,5885
80,因,Bronze,B09425,hzy,2781
81,蛟,Simplified,36,casia,4677
82,宾,Seal,S04551,hzy,2996
83,籽,Traditional,籽,Hiragino Sans GB,2028
84,结,Simplified,17,casia,4030
85,厲,Traditional,16,traditional,5416
86,呀,Traditional,呀,Hiragino Sans GB,1848
87,畔,Simplified,39,casia,4559
88,两,Bronze,B11991,hzy,2191
89,岬,Simplified,岬,Hiragino Sans GB,1393
90,恶,Seal,S07778,hzy,3698
91,竖,Simplified,70,casia,4164
92,徽,Simplified,徽,Hiragino Sans GB,4625
93,服,Traditional,22,traditional,5218
94,春,Seal,S00760,hzy,2980
95,斬,Traditional,斬,Hiragino Sans GB,1912
96,暖,Traditional,暖,Hiragino Sans GB,3409
97,湛,Simplified,湛,Hiragino Sans GB,2110
98,鳳,Traditional,鳳,SimSun,3314
99,亂,Traditional,亂,SimSun,3805
100,斗,Oracle,J29266,hzy,2214
101,辙,Simplified,辙,Hiragino Sans GB,4079
102,糜,Traditional,糜,SimSun,4675
103,絢,Traditional,絢,Hiragino Sans GB,3440
104,错,Simplified,错,SimSun,3239
105,暮,Traditional,暮,Hiragino Sans GB,2926
106,袖,Simplified,袖,SimSun,2556
107,早,Simplified,早,SimSun,1367
108,衿,Traditional,衿,SimSun,2964
109,荷,Seal,S00495,hzy,3174
110,桐,Traditional,桐,SimSun,2584
111,呸,Traditional,呸,Hiragino Sans GB,1996
112,铜,Simplified,25,casia,4656
113,噌,Simplified,44,casia,5145
114,佝,Traditional,佝,SimSun,2853
115,除,Simplified,除,Hiragino Sans GB,2693
116,熄,Simplified,熄,Hiragino Sans GB,3144
117,枉,Traditional,枉,Hiragino Sans GB,1419
118,荧,Simplified,24,casia,3977
119,雕,Traditional,雕,Hiragino Sans GB,2430
120,狮,Simplified,68,casia,4681
121,虔,Simplified,24,casia,4246
122,哼,Simplified,哼,Hiragino Sans GB,1943
123,减,Simplified,减,Hiragino Sans GB,3029
124,妙,Simplified,115,casia,3868
125,胎,Simplified,32,casia,4844
126,郁,Simplified,11,casia,4411
127,翠,Traditional,34,traditional,3732
128,隆,Traditional,隆,Hiragino Sans GB,3267
129,柚,Traditional,柚,Hiragino Sans GB,1922
130,擠,Traditional,擠,Hiragino Sans GB,3501
131,嬰,Traditional,嬰,SimSun,4346
132,馁,Simplified,馁,SimSun,4171
133,德,Traditional,36,traditional,6580
134,带,Seal,S05557,hzy,2795
135,務,Traditional,32,traditional,7163
136,嘶,Traditional,嘶,Hiragino Sans GB,2449
137,鴉,Traditional,33,traditional,6458
138,采,Seal,S04357,hzy,2086
139,什,Traditional,什,Hiragino Sans GB,1241
140,萎,Simplified,萎,SimSun,4130
141,沪,Simplified,10,casia,3096
142,阅,Simplified,阅,Hiragino Sans GB,2378
143,膊,Simplified,膊,Hiragino Sans GB,2538
144,闾,Bronze,B16201,hzy,4368
145,議,Traditional,35,traditional,7818
146,燥,Simplified,燥,Hiragino Sans GB,3504
147,懵,Simplified,25,casia,5600
148,袭,Simplified,袭,SimSun,4102
149,含,Traditional,含,Hiragino Sans GB,1990
150,雌,Seal,S02643,hzy,3685
151,常,Traditional,26,traditional,4631
152,尋,Traditional,46,traditional,4919
153,撵,Simplified,106,casia,5515
154,植,Traditional,37,traditional,6141
155,势,Simplified,势,Hiragino Sans GB,2991
156,牙,Bronze,B02617,hzy,1799
157,喪,Traditional,喪,Hiragino Sans GB,2367
158,潔,Traditional,潔,SimSun,4865
159,熊,Simplified,67,casia,4949
160,昊,Simplified,昊,SimSun,2505
161,羊,Traditional,羊,Hiragino Sans GB,1378
162,斤,Simplified,斤,SimSun,1790
163,凶,Seal,S05171,hzy,2326
164,讶,Seal,S01763,hzy,3309
165,猜,Seal,S07180,hzy,3644
166,荟,Seal,S00601,hzy,3836
167,画,Simplified,26,casia,4081
168,吾,Simplified,吾,Hiragino Sans GB,1796
169,海,Traditional,海,SimSun,3783
170,嘮,Traditional,0,traditional,5507
171,震,Traditional,震,Hiragino Sans GB,2900
172,璜,Traditional,38,traditional,5464
173,卸,Simplified,106,casia,4707
174,飞,Oracle,J25389,hzy,1810
175,哞,Traditional,哞,Hiragino Sans GB,2061
176,姝,Simplified,姝,SimSun,3343
177,繁,Traditional,繁,SimSun,5820
178,晟,Seal,S04861,hzy,3373
179,配,Traditional,6,traditional,4066
180,洋,Oracle,J24239,hzy,2967
181,虏,Seal,S04958,hzy,3703
182,噴,Traditional,42,traditional,5511
183,鎬,Traditional,42,traditional,5922
184,斟,Simplified,斟,SimSun,3431
185,暨,Simplified,暨,Hiragino Sans GB,2948
186,刘,Simplified,20,casia,3063
187,唱,Simplified,30,casia,4757
188,雇,Simplified,雇,Hiragino Sans GB,2643
189,方,Simplified,方,Hiragino Sans GB,1638
190,昱,Simplified,昱,SimSun,2136
191,父,Simplified,父,Hiragino Sans GB,2246
192,贾,Simplified,59,casia,4500
193,坎,Simplified,坎,Hiragino Sans GB,2364
194,突,Traditional,47,traditional,4853
195,陳,Traditional,陳,Hiragino Sans GB,2613
196,笑,Traditional,43,traditional,4343
197,笋,Seal,S03291,hzy,2698
198,公,Simplified,公,Hiragino Sans GB,2546
199,革,Traditional,23,traditional,4363
200,蕉,Seal,S00698,hzy,4168
201,雁,Simplified,雁,SimSun,3451
202,束,Traditional,束,Hiragino Sans GB,2081
203,求,Simplified,17,casia,3300
204,義,Traditional,義,Hiragino Sans GB,3332
205,蔗,Simplified,蔗,Hiragino Sans GB,2140
206,頌,Traditional,47,traditional,6688
207,拷,Simplified,拷,Hiragino Sans GB,2770
208,畸,Simplified,畸,Hiragino Sans GB,2320
209,醉,Simplified,醉,Hiragino Sans GB,2870
210,喉,Traditional,喉,Hiragino Sans GB,2687
211,甬,Traditional,甬,SimSun,2564
212,茵,Simplified,茵,Hiragino Sans GB,1866
213,涣,Simplified,涣,SimSun,3574
214,胜,Simplified,胜,SimSun,2562
215,柄,Simplified,柄,Hiragino Sans GB,2410
216,久,Traditional,久,Hiragino Sans GB,2177
217,躲,Simplified,51,casia,4716
218,綴,Traditional,綴,Hiragino Sans GB,4370
219,近,Simplified,近,SimSun,2001
220,凡,Simplified,凡,SimSun,1570
221,愈,Bronze,B02082,hzy,3925
222,及,Bronze,B04027,hzy,2531
223,費,Traditional,費,Hiragino Sans GB,3500
224,志,Simplified,128,casia,2975
225,印,Simplified,印,Hiragino Sans GB,1688
226,碌,Traditional,44,traditional,5993
227,吊,Simplified,75,casia,3257
228,五,Seal,S10919,hzy,2790
229,煨,Simplified,15,casia,5527
230,兄,Bronze,B13481,hzy,1812
231,抖,Simplified,抖,Hiragino Sans GB,2004
232,迪,Simplified,迪,SimSun,2336
233,投,Simplified,投,SimSun,3017
234,蚊,Bronze,B18545,hzy,3255
235,铛,Simplified,铛,Hiragino Sans GB,2242
236,撐,Traditional,18,traditional,5707
237,哽,Traditional,哽,Hiragino Sans GB,2427
238,草,Simplified,草,SimSun,2070
239,明,Seal,S04932,hzy,2186
240,限,Traditional,限,Hiragino Sans GB,2779
241,搶,Traditional,搶,Hiragino Sans GB,2907
242,世,Traditional,世,Hiragino Sans GB,1055
243,虑,Bronze,B15319,hzy,2401
244,云,Simplified,133,casia,3579
245,家,Traditional,43,traditional,4896
246,初,Traditional,26,traditional,5106
247,腮,Traditional,腮,SimSun,3298
248,宙,Seal,S05290,hzy,2545
249,嗚,Traditional,嗚,Hiragino Sans GB,2159
250,因,Traditional,因,Hiragino Sans GB,1540
251,渺,Simplified,89,casia,4085
252,煽,Traditional,45,traditional,6075
253,因,Simplified,因,Hiragino Sans GB,1540
254,坡,Traditional,坡,Hiragino Sans GB,2807
255,合,Traditional,27,traditional,4497
256,剜,Simplified,52,casia,3881
257,敘,Traditional,敘,SimSun,3769
258,距,Seal,S01562,hzy,2759
259,藕,Simplified,藕,Hiragino Sans GB,2904
260,斷,Traditional,斷,Hiragino Sans GB,5284
261,般,Traditional,般,SimSun,3300
262,愤,Simplified,愤,Hiragino Sans GB,2462
263,淮,Simplified,淮,SimSun,3162
264,革,Simplified,革,Hiragino Sans GB,1546
265,炉,Simplified,炉,Hiragino Sans GB,2083
266,啼,Traditional,啼,Hiragino Sans GB,2031
267,怠,Traditional,怠,SimSun,2675
268,陷,Simplified,109,casia,4775
269,遁,Traditional,49,traditional,5032
270,侍,Simplified,侍,SimSun,2454
271,拣,Simplified,拣,SimSun,3573
272,儒,Seal,S05667,hzy,3087
273,曳,Traditional,5,traditional,3421
274,冬,Simplified,冬,SimSun,2721
275,标,Seal,S04129,hzy,4335
276,詔,Traditional,29,traditional,6094
277,零,Traditional,零,Hiragino Sans GB,3317
278,闌,Traditional,闌,Hiragino Sans GB,2911
279,撐,Traditional,撐,Hiragino Sans GB,3011
280,熊,Oracle,J22798,hzy,3237
281,炫,Traditional,18,traditional,5109
282,萊,Traditional,45,traditional,4618
283,继,Seal,S09592,hzy,5473
284,邵,Bronze,B14058,hzy,2386
285,挽,Traditional,挽,SimSun,3613
286,庭,Bronze,B14304,hzy,2042
287,代,Traditional,代,Hiragino Sans GB,2391
288,焰,Simplified,81,casia,5339
289,罗,Simplified,罗,SimSun,2874
290,刹,Simplified,刹,SimSun,2905
291,敷,Traditional,19,traditional,6347
292,唯,Traditional,唯,Hiragino Sans GB,2461
293,冗,Simplified,冗,SimSun,1874
294,蒙,Oracle,J18214,hzy,2867
295,女,Seal,S09110,hzy,2627
296,扔,Simplified,扔,Hiragino Sans GB,2316
297,痛,Simplified,痛,Hiragino Sans GB,2684
298,益,Simplified,益,Hiragino Sans GB,1741
299,嘸,Traditional,嘸,SimSun,3815
300,拘,Simplified,拘,SimSun,2663
301,葉,Traditional,葉,SimSun,3385
302,普,Traditional,30,traditional,3911
303,俄,Traditional,俄,Hiragino Sans GB,3106
304,现,Simplified,8,casia,4228
305,茄,Simplified,茄,SimSun,2319
306,合,Traditional,合,Hiragino Sans GB,1856
307,牡,Traditional,26,traditional,4505
308,君,Traditional,君,SimSun,2626
309,呔,Simplified,5,casia,3547
310,豎,Traditional,豎,Hiragino Sans GB,3213
311,庚,Simplified,庚,SimSun,2978
312,董,Simplified,106,casia,4408
313,區,Traditional,區,SimSun,2132
314,匆,Bronze,B14903,hzy,2689
315,崴,Simplified,崴,SimSun,4836
316,癮,Traditional,癮,SimSun,4726
317,允,Seal,S06202,hzy,2232
318,呈,Traditional,20,traditional,3531
319,咀,Traditional,22,traditional,3944
320,箩,Simplified,箩,Hiragino Sans GB,3437
321,太,Simplified,太,SimSun,1653
322,识,Simplified,识,Hiragino Sans GB,1726
323,轧,Simplified,16,casia,3695
324,颖,Seal,S05031,hzy,3819
325,饺,Simplified,饺,Hiragino Sans GB,2789
326,編,Traditional,40,traditional,7241
327,跤,Simplified,跤,Hiragino Sans GB,2560
328,方,Traditional,方,SimSun,2283
329,辙,Simplified,138,casia,5633
330,壳,Simplified,壳,Hiragino Sans GB,1804
331,況,Traditional,16,traditional,4212
332,吴,Bronze,B15051,hzy,2176
333,封,Simplified,29,casia,4364
334,亡,Oracle,J27405,hzy,1362
335,糁,Seal,S05127,hzy,3939
336,玷,Traditional,46,traditional,5257
337,功,Traditional,功,SimSun,2480
338,簍,Traditional,簍,Hiragino Sans GB,4423
339,隶,Seal,S02226,hzy,4403
340,讹,Simplified,讹,SimSun,2730
341,牢,Traditional,32,traditional,4329
342,置,Seal,S05531,hzy,3239
343,嗄,Traditional,嗄,SimSun,3494
344,喉,Simplified,喉,SimSun,3655
345,枚,Traditional,枚,SimSun,3215
346,山,Oracle,J21382,hzy,2788
347,蜀,Bronze,B18534,hzy,3097
348,纤,Simplified,118,casia,3748
349,胖,Seal,S00812,hzy,2719
350,等,Simplified,等,SimSun,3223
351,阶,Simplified,阶,SimSun,2635
352,晓,Simplified,92,casia,4860
353,坛,Seal,S10282,hzy,3113
354,汇,Simplified,汇,Hiragino Sans GB,1540
355,苗,Simplified,109,casia,4644
356,湧,Traditional,19,traditional,5450
357,超,Simplified,超,Hiragino Sans GB,2558
358,撇,Traditional,撇,SimSun,3965
359,予,Traditional,予,Hiragino Sans GB,1892
360,它,Simplified,它,Hiragino Sans GB,1998
361,酩,Simplified,15,casia,4697
362,猛,Seal,S07181,hzy,3591
363,楼,Seal,S04202,hzy,4655
364,啄,Traditional,啄,Hiragino Sans GB,3032
365,輟,Traditional,輟,Hiragino Sans GB,3560
366,繃,Traditional,繃,Hiragino Sans GB,3774
367,蜡,Simplified,蜡,SimSun,3299
368,取,Traditional,11,traditional,5038
369,哺,Traditional,哺,SimSun,2300
370,旗,Traditional,37,traditional,5822
371,淌,Simplified,26,casia,3751
372,噢,Traditional,37,traditional,6586
373,侯,Traditional,侯,Hiragino Sans GB,2587
374,宅,Simplified,64,casia,3711
375,顧,Traditional,42,traditional,7860
376,逞,Simplified,54,casia,4564
377,龚,Simplified,龚,Hiragino Sans GB,3389
378,啸,Seal,S00965,hzy,3898
379,藉,Traditional,藉,SimSun,3872
380,锥,Simplified,7,casia,4744
381,瞧,Simplified,瞧,SimSun,3290
382,高,Simplified,高,SimSun,2251
383,琉,Simplified,琉,SimSun,3309
384,饶,Simplified,饶,SimSun,3851
385,账,Simplified,账,Hiragino Sans GB,2178
386,旦,Traditional,旦,SimSun,1268
387,闢,Traditional,闢,SimSun,4026
388,院,Simplified,85,casia,5342
389,芒,Traditional,芒,SimSun,1823
390,抽,Traditional,抽,SimSun,2668
391,糸,Traditional,糸,Hiragino Sans GB,3199
392,蟄,Traditional,47,traditional,6514
393,尸,Seal,S06136,hzy,1193
394,蹬,Traditional,1,traditional,7210
395,矮,Traditional,矮,SimSun,4857
396,泛,Traditional,48,traditional,4696
397,说,Simplified,说,SimSun,2723
398,肱,Traditional,肱,SimSun,3495
399,意,Simplified,110,casia,4258
400,攥,Simplified,攥,SimSun,6323
401,易,Traditional,易,Hiragino Sans GB,2372
402,嗄,Simplified,嗄,SimSun,3494
403,掴,Simplified,39,casia,4772
404,噪,Simplified,噪,SimSun,2778
405,熟,Traditional,12,traditional,6150
406,捻,Simplified,23,casia,4804
407,气,Oracle,J00876,hzy,1380
408,裸,Seal,S06076,hzy,3561
409,问,Simplified,问,SimSun,1764
410,碑,Simplified,碑,SimSun,3318
411,凝,Traditional,凝,SimSun,4921
412,陀,Simplified,陀,SimSun,2615
413,毙,Simplified,24,casia,5421
414,掃,Traditional,掃,SimSun,2952
415,咖,Traditional,咖,Hiragino Sans GB,1766
416,沙,Traditional,31,traditional,3509
417,幡,Seal,S05589,hzy,3437
418,韋,Traditional,7,traditional,2726
419,衡,Simplified,衡,SimSun,4851
420,兼,Simplified,55,casia,4292
421,懷,Traditional,35,traditional,5346
422,迪,Traditional,迪,Hiragino Sans GB,1956
423,诏,Simplified,诏,SimSun,2384
424,曲,Oracle,J27676,hzy,1665
425,干,Simplified,干,Hiragino Sans GB,821
426,辣,Simplified,98,casia,5015
427,霜,Traditional,霜,Hiragino Sans GB,2466
428,檸,Traditional,26,traditional,5821
429,軍,Traditional,軍,Hiragino Sans GB,1521
430,鸦,Simplified,45,casia,5499
431,嗄,Traditional,19,traditional,6048
432,买,Seal,S04564,hzy,2807
433,膏,Traditional,膏,SimSun,2818
434,娣,Traditional,30,traditional,6672
435,阻,Traditional,阻,Hiragino Sans GB,1909
436,拜,Seal,S08828,hzy,2841
437,液,Traditional,12,traditional,5379
438,薇,Simplified,81,casia,5323
439,借,Traditional,借,Hiragino Sans GB,1974
440,羞,Bronze,B21046,hzy,2262
441,忿,Traditional,忿,SimSun,2959
442,草,Seal,S00757,hzy,3085
443,摊,Simplified,摊,SimSun,4330
444,拉,Traditional,拉,Hiragino Sans GB,2171
445,晒,Simplified,119,casia,5137
446,稿,Traditional,稿,Hiragino Sans GB,2557
447,格,Traditional,30,traditional,4636
448,蘸,Simplified,蘸,SimSun,4974
449,歇,Simplified,歇,SimSun,4174
450,義,Traditional,義,SimSun,4401
451,燃,Simplified,90,casia,5352
452,辟,Simplified,辟,Hiragino Sans GB,2179
453,翰,Simplified,翰,Hiragino Sans GB,3033
454,愚,Traditional,27,traditional,4721
455,碑,Seal,S06825,hzy,2998
456,秒,Simplified,秒,Hiragino Sans GB,2725
457,揮,Traditional,揮,Hiragino Sans GB,2093
458,盈,Simplified,盈,SimSun,3583
459,畦,Simplified,畦,SimSun,2331
460,辭,Traditional,辭,SimSun,4337
461,妙,Simplified,妙,Hiragino Sans GB,2698
462,世,Simplified,世,Hiragino Sans GB,1055
463,宝,Simplified,宝,SimSun,1902
464,丛,Simplified,114,casia,3524
465,衫,Traditional,25,traditional,4661
466,境,Simplified,38,casia,4495
467,粪,Seal,S02850,hzy,4158
468,八,Traditional,八,Hiragino Sans GB,1739
469,贰,Simplified,103,casia,4463
470,廁,Traditional,廁,SimSun,2453
471,託,Traditional,託,Hiragino Sans GB,2289
472,筋,Traditional,筋,Hiragino Sans GB,2677
473,棒,Simplified,棒,SimSun,3541
474,歼,Simplified,歼,SimSun,2773
475,肌,Simplified,51,casia,3595
476,嘸,Traditional,3,traditional,4383
477,鯊,Traditional,34,traditional,4467
478,趣,Seal,S01093,hzy,3486
479,溼,Traditional,溼,SimSun,4421
480,刑,Simplified,130,casia,2669
481,偌,Traditional,偌,Hiragino Sans GB,2349
482,祖,Traditional,祖,Hiragino Sans GB,1850
483,穴,Simplified,18,casia,2899
484,英,Traditional,42,traditional,4102
485,嫩,Simplified,嫩,Hiragino Sans GB,4110
486,容,Traditional,容,SimSun,2877
487,大,Seal,S07467,hzy,2076
488,卢,Oracle,J12330,hzy,4021
489,静,Simplified,静,SimSun,3739
490,跑,Traditional,跑,SimSun,3894
491,怡,Traditional,怡,Hiragino Sans GB,2096
492,見,Traditional,見,Hiragino Sans GB,1932
493,乙,Oracle,J29991,hzy,1217
494,哦,Simplified,哦,SimSun,3454
495,凍,Traditional,凍,Hiragino Sans GB,2278
496,只,Seal,S02598,hzy,3655
497,例,Traditional,例,SimSun,3193
498,豌,Simplified,豌,Hiragino Sans GB,3165
499,竊,Traditional,竊,Hiragino Sans GB,3899
500,蕊,Simplified,98,casia,4121
501,西,Simplified,西,Hiragino Sans GB,1784
502,甫,Simplified,甫,SimSun,1759
503,盞,Traditional,44,traditional,5907
504,役,Simplified,役,Hiragino Sans GB,2607
505,茶,Simplified,80,casia,4695
506,耻,Simplified,95,casia,4231
507,婊,Simplified,婊,Hiragino Sans GB,3296
508,仔,Simplified,仔,Hiragino Sans GB,1538
509,蛙,Simplified,113,casia,4984
510,最,Seal,S05487,hzy,2870
511,寐,Simplified,寐,SimSun,2922
512,佰,Simplified,41,casia,3978
513,扯,Traditional,扯,Hiragino Sans GB,1410
514,錳,Traditional,錳,Hiragino Sans GB,2774
515,慕,Traditional,慕,Hiragino Sans GB,2778
516,瘤,Seal,S05408,hzy,3828
517,煩,Traditional,34,traditional,5657
518,虎,Simplified,虎,SimSun,3276
519,撬,Traditional,42,traditional,6284
520,軌,Traditional,軌,SimSun,2688
521,母,Simplified,母,Hiragino Sans GB,1953
522,汀,Traditional,35,traditional,3183
523,谭,Simplified,谭,Hiragino Sans GB,2700
524,鈔,Traditional,鈔,Hiragino Sans GB,2731
525,厌,Simplified,116,casia,3987
526,挤,Seal,S08836,hzy,3648
527,潮,Traditional,23,traditional,6905
528,弘,Simplified,弘,Hiragino Sans GB,2728
529,蒋,Simplified,35,casia,4915
530,坳,Simplified,坳,SimSun,3537
531,面,Simplified,面,SimSun,2252
532,課,Traditional,9,traditional,7869
533,實,Traditional,實,SimSun,3550
534,夺,Simplified,夺,Hiragino Sans GB,2091
535,心,Traditional,7,traditional,2437
536,文,Bronze,B13927,hzy,2522
537,詫,Traditional,詫,SimSun,3296
538,掌,Simplified,掌,SimSun,3184
539,碼,Traditional,碼,Hiragino Sans GB,3087
540,謊,Traditional,4,traditional,6496
541,去,Traditional,去,Hiragino Sans GB,1741
542,纲,Simplified,15,casia,4514
543,沁,Simplified,沁,SimSun,2503
544,凄,Seal,S07800,hzy,4647
545,暮,Simplified,暮,Hiragino Sans GB,2926
546,雁,Simplified,雁,Hiragino Sans GB,2729
547,爰,Simplified,爰,Hiragino Sans GB,3553
548,硌,Traditional,硌,SimSun,3152
549,柯,Simplified,12,casia,3761
550,屠,Simplified,屠,SimSun,2941
551,念,Simplified,念,SimSun,2701
552,屌,Traditional,32,traditional,4582
553,叨,Traditional,叨,Hiragino Sans GB,1826
554,愾,Traditional,愾,Hiragino Sans GB,2617
555,伺,Traditional,35,traditional,5622
556,演,Simplified,演,SimSun,3523
557,雪,Simplified,61,casia,4241
558,臭,Simplified,30,casia,4462
559,仙,Simplified,仙,SimSun,1545
560,晟,Traditional,9,traditional,5135
561,刚,Simplified,刚,Hiragino Sans GB,1987
562,赦,Simplified,赦,SimSun,3682
563,屜,Traditional,屜,SimSun,3074
564,掷,Simplified,掷,SimSun,3613
565,吸,Simplified,吸,Hiragino Sans GB,2417
566,恣,Traditional,7,traditional,4439
567,毕,Simplified,89,casia,3354
568,卖,Simplified,卖,SimSun,2751
569,脯,Simplified,脯,Hiragino Sans GB,2154
570,惭,Simplified,惭,Hiragino Sans GB,2560
571,杨,Simplified,107,casia,5063
572,吭,Traditional,37,traditional,3648
573,鉿,Traditional,鉿,Hiragino Sans GB,2749
574,觸,Traditional,35,traditional,6555
575,录,Oracle,J17036,hzy,2528
576,肚,Simplified,71,casia,3490
577,匠,Simplified,匠,SimSun,1745
578,亞,Traditional,27,traditional,4339
579,邦,Oracle,J15832,hzy,2653
580,息,Simplified,息,SimSun,2504
581,訴,Traditional,訴,SimSun,3021
582,側,Traditional,側,Hiragino Sans GB,2157
583,填,Traditional,39,traditional,6046
584,泌,Simplified,泌,SimSun,3581
585,膳,Simplified,膳,SimSun,3845
586,核,Traditional,核,SimSun,3634
587,釣,Traditional,釣,Hiragino Sans GB,2776
588,婦,Traditional,婦,SimSun,3531
589,巷,Traditional,34,traditional,4742
590,洛,Simplified,9,casia,4403
591,喂,Traditional,4,traditional,5733
592,纨,Simplified,45,casia,4373
593,剩,Traditional,剩,Hiragino Sans GB,2373
594,崽,Traditional,崽,SimSun,2883
595,騷,Traditional,8,traditional,6688
596,掘,Traditional,3,traditional,5046
597,芝,Simplified,芝,Hiragino Sans GB,2122
598,损,Simplified,损,Hiragino Sans GB,2487
599,尖,Simplified,尖,SimSun,2288
600,笠,Traditional,笠,Hiragino Sans GB,2250
601,下,Traditional,下,SimSun,1339
602,库,Simplified,14,casia,3924
603,走,Simplified,83,casia,3957
604,叫,Traditional,21,traditional,2996
605,茗,Traditional,14,traditional,4066
606,煸,Simplified,煸,SimSun,3559
607,謊,Traditional,謊,SimSun,3617
608,过,Bronze,B02056,hzy,3246
609,枝,Seal,S04117,hzy,3020
610,凑,Seal,S08210,hzy,4121
611,泷,Simplified,泷,SimSun,3410
612,儀,Traditional,儀,Hiragino Sans GB,3596
613,釘,Traditional,56,traditional,5016
614,蹲,Traditional,蹲,SimSun,3988
615,凉,Simplified,凉,Hiragino Sans GB,2331
616,五,Simplified,五,SimSun,2077
617,衡,Traditional,衡,Hiragino Sans GB,3016
618,勘,Simplified,勘,Hiragino Sans GB,2586
619,弊,Traditional,35,traditional,6012
620,悉,Seal,S00808,hzy,3009
621,贫,Simplified,贫,SimSun,3149
622,哺,Simplified,哺,Hiragino Sans GB,1948
623,拱,Traditional,拱,Hiragino Sans GB,1639
624,院,Simplified,院,Hiragino Sans GB,2236
625,臭,Simplified,臭,Hiragino Sans GB,2697
626,塔,Seal,S10300,hzy,3022
627,怯,Simplified,怯,Hiragino Sans GB,1974
628,匝,Traditional,匝,Hiragino Sans GB,1103
629,存,Traditional,存,SimSun,2539
630,冷,Seal,S08460,hzy,2826
631,条,Simplified,条,Hiragino Sans GB,3159
632,扒,Simplified,扒,Hiragino Sans GB,2198
633,摊,Simplified,112,casia,4925
634,痧,Simplified,痧,SimSun,3149
635,题,Simplified,题,SimSun,3403
636,灣,Traditional,灣,SimSun,5631
637,妹,Seal,S09154,hzy,3544
638,徒,Traditional,9,traditional,5311
639,绥,Bronze,B18295,hzy,2532
640,眸,Traditional,眸,SimSun,2659
641,疼,Traditional,43,traditional,5207
642,折,Seal,S00704,hzy,2914
643,蔗,Simplified,蔗,SimSun,2737
644,桨,Simplified,桨,SimSun,3345
645,屆,Traditional,47,traditional,5615
646,邱,Simplified,64,casia,3361
