,image_path,perimetric_complexity,pixel_complexity
42,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/之_Simplified_之.png,214.96783133131527,751.0
43,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乌_Simplified_乌.png,259.8622552654185,1102.0
44,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乍_Simplified_乍.png,207.7291231918999,870.0
45,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乎_Simplified_乎.png,228.20627409965005,928.0
46,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乏_Simplified_乏.png,267.5237364399077,1010.0
47,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乐_Simplified_乐.png,251.012970511674,972.0
48,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乒_Simplified_乒.png,239.5335714045181,1012.0
49,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乔_Simplified_乔.png,287.12237718336866,1084.0
50,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乖_Simplified_乖.png,310.85405119121,1323.0
51,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乘_Simplified_乘.png,389.1266800290914,1526.0
52,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乙_Simplified_乙.png,238.1730318231524,850.0
53,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/九_Simplified_九.png,204.5043366332657,814.0
54,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乞_Simplified_乞.png,267.0825662828787,992.0
55,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/也_Simplified_也.png,276.5973623263166,1142.0
56,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/习_Simplified_习.png,247.6041871431852,963.0
57,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乡_Simplified_乡.png,257.2855369639828,839.0
58,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/书_Simplified_书.png,248.21685641819215,1060.0
59,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/买_Simplified_买.png,302.48565109241497,1124.0
60,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乱_Simplified_乱.png,289.9830209445289,1254.0
61,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/乳_Simplified_乳.png,301.93941256181887,1173.0
62,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亂_Simplified_亂.png,451.04687610649256,1761.0
63,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/了_Simplified_了.png,174.4085828847905,678.0
64,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/予_Simplified_予.png,264.0234303246575,1039.0
65,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/争_Simplified_争.png,307.9466197083503,1297.0
66,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/事_Simplified_事.png,428.5689122309634,1938.0
67,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/二_Simplified_二.png,118.01308482290318,521.0
68,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/于_Simplified_于.png,188.13890109803927,831.0
69,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亏_Simplified_亏.png,228.2798487629297,966.0
70,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/云_Simplified_云.png,242.03719813534045,942.0
71,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/互_Simplified_互.png,280.2646374603985,1230.0
72,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/五_Simplified_五.png,259.32698304055145,1132.0
73,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/井_Simplified_井.png,255.58772533241003,1111.0
74,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亘_Simplified_亘.png,325.70576595070577,1455.0
75,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亙_Simplified_亙.png,296.24722410476244,1244.0
76,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亚_Simplified_亚.png,288.1202257407829,1213.0
77,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/些_Simplified_些.png,316.6002254652988,1307.0
78,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亞_Simplified_亞.png,305.46990835433024,1357.0
79,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亟_Simplified_亟.png,366.9497471344608,1448.0
80,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亡_Simplified_亡.png,177.09307752132187,768.0
81,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/交_Simplified_交.png,278.53666258850615,912.0
82,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亦_Simplified_亦.png,257.67452162244626,984.0
83,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/产_Simplified_产.png,198.94172386277648,796.0
84,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亨_Simplified_亨.png,302.8275850694691,1285.0
85,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/亩_Simplified_亩.png,341.48168236313865,1532.0
86,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/享_Simplified_享.png,350.30993861412594,1500.0
