character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
阁,ge2,Seal,pictophonetic,372.1717492503173,hzy,S08734,阁 (ge2)
阉,yan1,Seal,pictophonetic,433.78725526072463,hzy,S08751,阉 (yan1)
阎,yan2,Seal,pictophonetic,406.2853262175044,hzy,S08711,阎 (yan2)
阐,chan3,Seal,pictophonetic,397.78628528750784,hzy,S08727,阐 (chan3)
阑,lan2,Bronze,pictophonetic,311.1901510180144,hzy,B16214,阑 (lan2)
阑,lan2,Seal,pictophonetic,406.80996092383896,hzy,S08742,阑 (lan2)
阔,kuo4,Bronze,pictophonetic,454.4340048252769,hzy,B16229,阔 (kuo4)
阙,que4,Seal,pictophonetic,438.1136520866586,hzy,S08716,阙 (que4)
阜,fu4,Seal,pictographic,257.65657512354306,hzy,S10798,阜 (fu4)
队,dui4,Bronze,other,230.57648748974555,hzy,B19726,队 (dui4)
队,dui4,Oracle,other,224.6301632578108,hzy,J29499,队 (dui4)
队,dui4,Seal,other,374.2271929754223,hzy,S10830,队 (dui4)
阪,ban3,Seal,pictophonetic,343.2570657470351,hzy,S10809,阪 (ban3)
阮,ruan3,Seal,pictophonetic,304.5375597477128,hzy,S10867,阮 (ruan3)
防,fang2,Seal,pictophonetic,312.5565013055783,hzy,S10842,防 (fang2)
阳,yang2,Bronze,pictosynthetic,303.5118557768493,hzy,B19696,阳 (yang2)
阳,yang2,Oracle,pictosynthetic,234.69392893577265,hzy,J29476,阳 (yang2)
阳,yang2,Seal,pictosynthetic,394.5939116892338,hzy,S10804,阳 (yang2)
阴,yin1,Bronze,pictosynthetic,264.8116177085056,hzy,B19687,阴 (yin1)
阴,yin1,Seal,pictosynthetic,372.6605109168197,hzy,S10803,阴 (yin1)
阶,jie1,Seal,pictophonetic,383.4625246420845,hzy,S10880,阶 (jie1)
阻,zu3,Seal,pictophonetic,341.262117180796,hzy,S10814,阻 (zu3)
阿,a1,Bronze,pictophonetic,280.7315999416785,hzy,B19711,阿 (a1)
阿,a1,Seal,pictophonetic,313.34278626815586,hzy,S10807,阿 (a1)
附,fu4,Seal,pictophonetic,392.44236625021006,hzy,S10848,附 (fu4)
际,ji4,Seal,other,428.8035319898992,hzy,S10884,际 (ji4)
陆,lu4,Bronze,pictosynthetic,239.9060371495597,hzy,B19705,陆 (lu4)
陆,lu4,Oracle,pictosynthetic,198.5642534805381,hzy,J29477,陆 (lu4)
陆,lu4,Seal,pictosynthetic,338.7133000786782,hzy,S10805,陆 (lu4)
