participantid,condition,trialnum,character,rating,flip,controlscore
48,hwtrad,3,犬,0,noflip,4
48,hwtrad,4,自,0,noflip,4
48,hwtrad,5,田,2,noflip,4
48,hwtrad,6,廾,2,flip,4
48,hwtrad,7,control_刓_元,3,flip,4
48,hwtrad,8,水,2,noflip,4
48,hwtrad,9,眉,2,flip,4
48,hwtrad,10,丘,3,noflip,4
48,hwtrad,11,白,3,noflip,4
48,hwtrad,12,南,0,flip,4
48,hwtrad,13,兽,4,noflip,4
48,hwtrad,14,豆,3,noflip,4
48,hwtrad,15,目,2,noflip,4
48,hwtrad,16,卯,3,flip,4
48,hwtrad,17,主,2,flip,4
48,hwtrad,18,它,1,noflip,4
48,hwtrad,19,以,4,noflip,4
48,hwtrad,20,云,5,noflip,4
48,hwtrad,21,贝,3,noflip,4
48,hwtrad,22,而,4,flip,4
48,hwtrad,23,庚,2,flip,4
48,hwtrad,24,母,1,noflip,4
48,hwtrad,25,鹿,3,flip,4
48,hwtrad,26,control_匜_也,4,flip,4
48,hwtrad,27,日,3,flip,4
48,hwtrad,28,登,1,noflip,4
48,hwtrad,29,人,3,noflip,4
48,hwtrad,30,乃,3,flip,4
48,hwtrad,31,刀,3,flip,4
48,hwtrad,32,秋,1,flip,4
48,hwtrad,33,辰,3,noflip,4
48,hwtrad,34,舟,3,flip,4
48,hwtrad,35,单,3,flip,4
48,hwtrad,36,周,1,noflip,4
48,hwtrad,37,control_乇_七,2,flip,4
48,hwtrad,38,龟,3,noflip,4
48,hwtrad,39,兆,3,flip,4
48,hwtrad,40,牛,2,flip,4
48,hwtrad,41,丹,2,flip,4
48,hwtrad,42,又,3,noflip,4
48,hwtrad,43,马,1,flip,4
48,hwtrad,44,工,2,noflip,4
48,hwtrad,45,control_卡_上,3,noflip,4
48,hwtrad,46,侯,3,noflip,4
48,hwtrad,47,黄,3,flip,4
48,hwtrad,48,衣,3,flip,4
48,hwtrad,49,象,3,noflip,4
48,hwtrad,50,文,2,noflip,4
48,hwtrad,51,鬼,3,noflip,4
48,hwtrad,52,羊,3,flip,4
48,hwtrad,53,函,3,flip,4
48,hwtrad,54,于,3,noflip,4
48,hwtrad,55,燕,3,noflip,4
49,hwtrad,1,儿,0,flip,5
